target,horizon,best_model,MAE,dir_acc
kdci,1d,Persistence,359.71,0.0078
kdci,7d,Persistence,1555.93,0.0
kdci,14d,Persistence,2216.83,0.0
kdci,30d,Persistence,3014.7,0.0
cape,1d,Persistence,1043.46,0.0026
cape,7d,Persistence,4050.81,0.0
cape,14d,Persistence,5520.52,0.0
cape,30d,Persistence,6592.69,0.0
panamax,1d,Persistence,246.02,0.0
panamax,7d,Persistence,1200.6,0.0
panamax,14d,Persistence,1769.57,0.0
panamax,30d,Ridge,2496.67,0.5866
supramax,1d,Persistence,156.54,0.0026
supramax,7d,Persistence,852.76,0.0
supramax,14d,Ridge,1351.36,0.6364
supramax,30d,Ridge,1713.36,0.757
handy,1d,Persistence,89.17,0.0026
handy,7d,Persistence,454.05,0.0
handy,14d,Persistence,745.25,0.0
handy,30d,Ridge,1117.89,0.6201
