date,freight_class,horizon,is_promoted,gate_status,destination_port,current_rate_y0,forecast_yhat,forecast_trend_delta,forecast_pct_delta,uncertainty_p10,uncertainty_p90,indicative_cost_risk_score,feasible_vessel_classes,recommendation,recommended_vessel_class,audit_rationale,realized_future_rate,realized_return_pct,economic_pnl_dollars_per_day,decision_success_evaluation
2025-01-22,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8720.0,8552.97,-167.03,-1.92,-549.12,549.12,34.3,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8424.0,-3.39,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market -3.39%)
2025-01-23,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8424.0,8257.45,-166.55,-1.98,-549.12,549.12,34.3,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8084.0,-4.04,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market -4.04%)
2025-01-24,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8084.0,7871.78,-212.22,-2.63,-549.12,549.12,33.6,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,7760.0,-4.01,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market -4.01%)
2025-01-31,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,7760.0,7671.86,-88.14,-1.14,-549.12,549.12,35.1,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,7654.0,-1.37,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market -1.37%)
2025-02-03,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,7654.0,7492.62,-161.38,-2.11,-549.12,549.12,34.1,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,7710.0,0.73,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +0.73%)
2025-02-04,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,7710.0,7658.71,-51.29,-0.67,-549.12,549.12,35.6,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8035.0,4.22,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +4.22%)
2025-02-05,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8035.0,8152.49,117.49,1.46,-549.12,549.12,37.7,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8532.0,6.19,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +6.19%)
2025-02-06,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8532.0,8812.35,280.35,3.29,-549.12,549.12,39.5,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8862.0,3.87,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +3.87%)
2025-02-07,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8862.0,9015.23,153.23,1.73,-549.12,549.12,38.0,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8957.0,1.07,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +1.07%)
2025-02-10,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8957.0,9027.51,70.51,0.79,-549.12,549.12,37.0,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8981.0,0.27,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +0.27%)
2025-02-11,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8981.0,9211.78,230.78,2.57,-549.12,549.12,38.8,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8981.0,0.0,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +0.00%)
2025-02-12,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8981.0,9200.56,219.56,2.44,-549.12,549.12,38.7,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8861.0,-1.34,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market -1.34%)
2025-02-13,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8861.0,9049.61,188.61,2.13,-549.12,549.12,38.4,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,8941.0,0.9,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +0.90%)
2025-02-14,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,8941.0,9183.69,242.69,2.71,-549.12,549.12,39.0,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,9050.0,1.22,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +1.22%)
2025-02-17,kdci,1d,False,FALLBACK_UNPROMOTED,Visakhapatnam,9050.0,9217.47,167.47,1.85,-549.12,549.12,38.1,CAPE,FLEXIBLE / INDEX-LINKED,CAPE,Pair (kdci 1d) is not in the high-conviction promoted registry. Naive baseline is superior; defaulting to index-linked floating rate contract.,9269.0,2.42,0.0,NEUTRAL_FLOATING (Index-linked contract adjusted with market +2.42%)
