asset,horizon,b1_viability_tier,b1_delta_priority,n_train,n_val,n_test,pers_MAE,pers_RMSE,pers_sMAPE,pers_R2,pers_DirAcc,pers_MacroF1_2pct,lvl_test_MAE,lvl_test_RMSE,lvl_test_sMAPE,lvl_test_R2,lvl_test_DirAcc,lvl_test_MacroF1_2pct,dlt_test_MAE,dlt_test_RMSE,dlt_test_sMAPE,dlt_test_R2,dlt_test_DirAcc,dlt_test_MacroF1_2pct,lvl_val_MAE,lvl_val_RMSE,lvl_val_sMAPE,lvl_val_R2,lvl_val_DirAcc,lvl_val_MacroF1_2pct,dlt_val_MAE,dlt_val_RMSE,dlt_val_sMAPE,dlt_val_R2,dlt_val_DirAcc,dlt_val_MacroF1_2pct,dlt_unc_resid_P10,dlt_unc_resid_P50,dlt_unc_resid_P90,dlt_unc_resid_std,dlt_unc_interval_width_80pct,lvl_best_K,lvl_best_alpha,dlt_best_K,dlt_best_alpha,lvl_top5_features,dlt_top5_features,win_score,win_verdict,dlt_beats_pers_sMAPE,dlt_beats_pers_DirAcc,dlt_beats_level_F1,dlt_beats_pers_MAE,dlt_beats_level_MAE
kdci,1d,UNKNOWN,UNKNOWN,1806,387,387,359.7,476.6,1.86,0.9922,0.8,26.4,504.1,635.1,2.58,0.9862,45.7,30.7,320.4,423.0,1.65,0.9939,67.4,45.5,328.6,474.6,1.93,0.9854,62.8,45.0,289.9,420.0,1.71,0.9886,69.0,53.2,-413.1,19.1,502.3,418.9,915.5,50,1.0,30,1.0,"kdci, cape, panamax, supramax, handy","kdci_lag_7, kdci_lag_14, cape_lag_3, cape_lag_7, cape_lag_14",4,STRONG_WIN,True,True,True,True,True
kdci,7d,UNKNOWN,UNKNOWN,1806,387,381,1555.9,1924.8,8.22,0.8653,0.0,9.3,2651.1,3204.0,13.85,0.6267,44.1,20.1,1552.3,1950.4,7.94,0.8617,55.6,40.7,1355.6,2014.4,8.01,0.7502,65.1,47.9,1393.2,2032.9,8.33,0.7456,68.2,49.7,-2189.6,-148.4,2257.7,2032.9,4447.3,50,10.0,10,10.0,"kdci, panamax, supramax, handy, mc9","mc8, cape_lag_3, cape_lag_7, cape_lag_14, cape_rmean_7",4,STRONG_WIN,True,True,True,True,True
kdci,14d,UNKNOWN,UNKNOWN,1806,387,374,2216.8,2837.0,12.0,0.6865,0.0,8.3,5416.5,6135.6,30.16,-0.4665,39.6,17.2,2418.4,3068.7,12.75,0.6332,55.9,43.4,2109.7,3085.0,12.6,0.4395,68.0,50.6,2108.0,2975.2,12.98,0.4786,63.8,46.5,-2946.3,16.9,3864.7,2949.7,6811.0,30,10.0,20,100.0,"kdci, panamax, supramax, handy, mp1","cape, mc6, mc7, mc8, mc9",2,MARGINAL,False,True,True,False,True
kdci,30d,UNKNOWN,UNKNOWN,1806,387,358,3014.7,3899.3,16.22,0.3501,0.0,6.2,8410.7,9340.0,50.25,-2.7286,32.1,14.1,4006.5,4760.3,21.57,0.0315,46.9,29.1,2392.1,3296.6,15.2,0.3524,77.3,55.7,2545.4,3783.3,16.26,0.1471,71.6,48.3,-1895.2,291.5,7291.8,3527.9,9187.0,20,1.0,30,100.0,"panamax, supramax, mp1, mp2, mp3","kdci, cape, mc6, mc7, mc8",2,MARGINAL,False,True,True,False,True
cape,1d,UNKNOWN,UNKNOWN,1775,387,387,1043.5,1383.5,3.56,0.983,0.3,18.0,966.2,1292.0,3.25,0.9852,63.8,43.3,931.0,1243.1,3.13,0.9863,68.7,43.6,864.4,1226.6,3.62,0.9737,66.1,51.2,886.3,1218.7,3.69,0.9741,65.1,51.9,-1321.5,-129.1,1543.7,1218.5,2865.2,20,1.0,20,1.0,"kdci, cape, mc6, mc7, mc8","mc8, cape_lag_1, cape_lag_3, cape_lag_7, cape_lag_14",4,STRONG_WIN,True,True,True,True,True
cape,7d,UNKNOWN,UNKNOWN,1770,387,381,4050.8,5074.8,14.26,0.7605,0.0,5.3,4307.4,5576.3,14.81,0.7108,52.2,36.6,4024.3,5229.6,13.76,0.7456,61.4,42.0,3535.0,5292.2,15.2,0.5287,65.6,50.2,3643.2,5396.7,15.64,0.5099,66.7,46.4,-4945.3,252.1,6806.6,5324.4,11751.9,10,1.0,30,1.0,"kdci, cape, mc6, mc7, mc8","cape, mc6, mc7, mc8, mc9",4,STRONG_WIN,True,True,True,True,True
cape,14d,UNKNOWN,UNKNOWN,1770,387,374,5520.5,7026.4,20.07,0.5099,0.0,3.7,8878.7,10578.0,32.83,-0.1109,48.1,26.0,6289.3,8006.2,22.41,0.3636,59.4,40.1,5306.0,7691.8,23.44,0.0546,68.5,43.3,5003.8,7191.3,21.72,0.1736,70.8,51.8,-5394.0,914.3,10427.4,6905.0,15821.4,50,10.0,30,10.0,"kdci, cape, panamax, supramax, mc6","kdci, cape, mc6, mc7, mc8",2,MARGINAL,False,True,True,False,True
cape,30d,UNKNOWN,UNKNOWN,1770,387,358,6592.7,8619.5,23.46,0.1985,0.0,5.6,11884.2,14251.4,42.08,-1.1912,51.1,31.6,6763.8,8662.9,23.55,0.1904,46.9,30.4,6123.2,7730.3,27.26,0.0645,64.3,45.3,6259.8,8310.3,27.21,-0.0811,65.4,46.9,-8884.9,-355.0,12284.2,8265.0,21169.1,30,1000.0,50,10000.0,"kdci, panamax, mp1, mp2, mp3","kdci, cape, mc6, mc7, mc8",1,WEAK,False,True,False,False,True
panamax,1d,UNKNOWN,UNKNOWN,1802,387,387,246.0,332.9,1.63,0.9923,0.0,28.2,229.1,310.3,1.51,0.9933,61.0,39.5,190.8,269.2,1.27,0.995,76.5,43.4,227.6,301.1,1.58,0.9913,55.0,42.2,175.1,249.5,1.23,0.994,79.3,47.7,-261.8,-22.0,272.0,249.4,533.8,10,1.0,10,1.0,"panamax, mp1, mp2, mp3, mp4","kdci_chg_1, kdci_chg_7, cape_chg_1, cape_pchg_1, panamax_chg_1",4,STRONG_WIN,True,True,True,True,True
panamax,7d,UNKNOWN,UNKNOWN,1802,387,381,1200.6,1482.1,7.98,0.8356,0.0,8.9,2501.8,2871.8,16.24,0.383,41.5,19.6,1210.4,1508.2,8.11,0.8298,49.9,35.3,1129.4,1511.1,7.85,0.7934,63.6,40.0,1069.6,1373.7,7.43,0.8292,64.1,42.0,-1570.1,-152.5,1817.0,1373.4,3387.1,20,1.0,20,1.0,"kdci, panamax, supramax, mp1, mp2","kdci_lag_14, cape_lag_14, cape_rmean_30, kdci_chg_1, kdci_chg_7",2,MARGINAL,False,True,True,False,True
panamax,14d,UNKNOWN,UNKNOWN,1802,387,374,1769.6,2245.9,11.55,0.6025,0.0,6.3,3683.9,4200.5,24.22,-0.3905,43.0,21.2,1923.5,2408.7,12.66,0.5428,46.0,28.2,1710.3,2249.7,12.04,0.5523,58.7,44.8,1695.9,2133.6,12.0,0.5973,63.0,44.0,-2130.9,-88.8,2807.3,2128.4,4938.3,20,10.0,10,100.0,"kdci, panamax, supramax, handy, mp1","kdci_lag_7, kdci_lag_14, cape_lag_7, cape_lag_14, cape_rmean_14",2,MARGINAL,False,True,True,False,True
panamax,30d,UNKNOWN,UNKNOWN,1803,387,358,2609.3,3251.3,17.02,0.0758,0.0,4.2,5928.0,6717.3,42.63,-2.9451,34.1,16.0,2821.0,3383.4,18.34,-0.0009,46.9,28.6,1721.2,2250.9,12.74,0.5469,78.3,58.1,2318.7,2831.3,16.89,0.2831,65.9,49.3,-2975.8,-2.2,4337.7,2812.9,7313.5,30,1.0,10,100.0,"panamax, supramax, handy, mp1, mp2","cape, mc8, mc9, cape_lag_1, cape_lag_3",2,MARGINAL,False,True,True,False,True
supramax,1d,UNKNOWN,UNKNOWN,1803,387,387,156.5,220.9,1.06,0.9961,0.3,30.9,244.3,298.5,1.58,0.9929,48.3,38.8,136.5,186.6,0.89,0.9972,67.4,37.3,173.6,227.6,1.25,0.9926,66.1,39.6,138.1,191.0,1.01,0.9948,70.8,40.8,-218.2,-17.0,198.1,190.5,416.2,50,1.0,30,100.0,"kdci, panamax, supramax, handy, mp1","cape_lag_14, kdci_chg_1, kdci_chg_7, kdci_chg_14, cape_chg_1",3,WIN,True,True,False,True,True
