date,vessel,year,base_rate,true_rate,true_delta,pred_delta,tuned_thresh,decision,retained,dir_correct,cost_spot,cost_ficos,net_savings
2021-01-05,panamax,2021,12739.0,13276.0,537.0,-135.25890959968174,-64.28571428571428,WAIT,True,False,254780.0,268020.0,-13240.0
2021-01-06,panamax,2021,13276.0,13834.0,558.0,263.1999499503154,-64.28571428571428,SPOT_INDEX,False,True,265520.0,265520.0,0.0
2021-01-07,panamax,2021,13834.0,14218.0,384.0,247.4720575473318,-64.28571428571428,SPOT_INDEX,False,True,276680.0,276680.0,0.0
2021-01-08,panamax,2021,14218.0,14870.0,652.0,452.02163846515583,-64.28571428571428,SPOT_INDEX,False,True,284360.0,284360.0,0.0
2021-01-11,panamax,2021,14870.0,15087.0,217.0,475.4741715027305,-64.28571428571428,SPOT_INDEX,False,True,297400.0,297400.0,0.0
2021-01-12,panamax,2021,15087.0,15295.0,208.0,499.16805123410995,-64.28571428571428,SPOT_INDEX,False,True,301740.0,301740.0,0.0
2021-01-13,panamax,2021,15295.0,15354.0,59.0,486.1734631970293,-64.28571428571428,SPOT_INDEX,False,True,305900.0,305900.0,0.0
2021-01-14,panamax,2021,15354.0,15306.0,-48.0,178.0165539258725,-64.28571428571428,SPOT_INDEX,False,False,307080.0,307080.0,0.0
2021-01-15,panamax,2021,15306.0,15284.0,-22.0,-31.306543215061154,-64.28571428571428,SPOT_INDEX,False,True,306120.0,306120.0,0.0
2021-01-18,panamax,2021,15284.0,15261.0,-23.0,-56.36498688022655,-64.28571428571428,SPOT_INDEX,False,True,305680.0,305680.0,0.0
2021-01-19,panamax,2021,15261.0,15238.0,-23.0,-40.37534585209688,-64.28571428571428,SPOT_INDEX,False,True,305220.0,305220.0,0.0
2021-01-20,panamax,2021,15238.0,15264.0,26.0,-38.6877055286266,-64.28571428571428,SPOT_INDEX,False,False,304760.0,304760.0,0.0
2021-01-21,panamax,2021,15264.0,15232.0,-32.0,147.36753883839393,-64.28571428571428,SPOT_INDEX,False,False,305280.0,305280.0,0.0
2021-01-22,panamax,2021,15232.0,15210.0,-22.0,-68.44202403398535,-64.28571428571428,WAIT,True,True,304640.0,306700.0,-2060.0
2021-01-25,panamax,2021,15210.0,15349.0,139.0,-73.1606868292937,-64.28571428571428,WAIT,True,False,304200.0,309480.0,-5280.0
2021-01-26,panamax,2021,15349.0,15317.0,-32.0,108.83834986388894,-64.28571428571428,SPOT_INDEX,False,False,306980.0,306980.0,0.0
2021-01-27,panamax,2021,15317.0,15151.0,-166.0,-98.30171194352118,-64.28571428571428,WAIT,True,True,306340.0,305520.0,820.0
2021-01-28,panamax,2021,15151.0,15012.0,-139.0,-465.43638370699387,-64.28571428571428,WAIT,True,True,303020.0,302740.0,280.0
2021-01-29,panamax,2021,15012.0,14962.0,-50.0,-255.58845318599597,-64.28571428571428,WAIT,True,True,300240.0,301740.0,-1500.0
2021-02-01,panamax,2021,14962.0,14905.0,-57.0,-101.55676400161433,-64.28571428571428,WAIT,True,True,299240.0,300600.0,-1360.0
2021-02-02,panamax,2021,14905.0,14809.0,-96.0,-154.8416064849548,-64.28571428571428,WAIT,True,True,298100.0,298680.0,-580.0
2021-02-03,panamax,2021,14809.0,14860.0,51.0,-220.2341370888436,-64.28571428571428,WAIT,True,False,296180.0,299700.0,-3520.0
2021-02-04,panamax,2021,14860.0,14914.0,54.0,102.8208927268065,-64.28571428571428,SPOT_INDEX,False,True,297200.0,297200.0,0.0
2021-02-05,panamax,2021,14914.0,15157.0,243.0,109.34977597331934,-64.28571428571428,SPOT_INDEX,False,True,298280.0,298280.0,0.0
2021-02-08,panamax,2021,15157.0,15531.0,374.0,161.36481864356972,-64.28571428571428,SPOT_INDEX,False,True,303140.0,303140.0,0.0
2021-02-09,panamax,2021,15531.0,16090.0,559.0,157.37486298523132,-64.28571428571428,SPOT_INDEX,False,True,310620.0,310620.0,0.0
2021-02-10,panamax,2021,16090.0,17545.0,1455.0,165.32176081892564,-64.28571428571428,SPOT_INDEX,False,True,321800.0,321800.0,0.0
2021-02-15,panamax,2021,17545.0,18547.0,1002.0,238.03393209881142,-64.28571428571428,SPOT_INDEX,False,True,350900.0,350900.0,0.0
2021-02-16,panamax,2021,18547.0,21078.0,2531.0,286.44318407572763,-64.28571428571428,SPOT_INDEX,False,True,370940.0,370940.0,0.0
