column,category,dtype,null_count,null_pct
date,index,datetime64[us],0,0.0
kdci,freight_target_raw,int64,0,0.0
cape,freight_target_raw,float64,18,0.7
panamax,freight_target_raw,float64,2,0.08
supramax,freight_target_raw,float64,2,0.08
handy,freight_target_raw,float64,2,0.08
mc6,route_freight,float64,18,0.7
mc7,route_freight,float64,18,0.7
mc8,route_freight,float64,18,0.7
mc9,route_freight,float64,18,0.7
mp1,route_freight,float64,2,0.08
mp2,route_freight,float64,2,0.08
mp3,route_freight,float64,2,0.08
mp4,route_freight,float64,2,0.08
mp5,route_freight,float64,2,0.08
mp6,route_freight,float64,2,0.08
mp7,route_freight,float64,2,0.08
ms1,route_freight,float64,2,0.08
ms2,route_freight,float64,2,0.08
ms4,route_freight,float64,2,0.08
ms5,route_freight,float64,2,0.08
ms6,route_freight,float64,2,0.08
ms7,route_freight,float64,2,0.08
mh1,route_freight,float64,2,0.08
mh2,route_freight,float64,2,0.08
mh3,route_freight,float64,2,0.08
mh4,route_freight,float64,2,0.08
mh5,route_freight,float64,2,0.08
n10d,market_feature,float64,3,0.12
gprd,market_feature,float64,3,0.12
gprd_act,market_feature,float64,3,0.12
gprd_threat,market_feature,float64,3,0.12
gprd_ma7,market_feature,float64,3,0.12
gprd_ma30,market_feature,float64,3,0.12
usd_inr,market_feature,float64,97,3.76
brent_usd_per_barrel,market_feature,float64,45,1.74
wti_usd_per_barrel,market_feature,float64,95,3.68
gscpi,commodity_feature,float64,0,0.0
coal_australian,commodity_feature,float64,0,0.0
coal_south_african,commodity_feature,float64,0,0.0
iron_ore_cfr_spot,commodity_feature,float64,0,0.0
copper,commodity_feature,int64,0,0.0
aluminum,commodity_feature,int64,0,0.0
dap,commodity_feature,float64,0,0.0
tsp,commodity_feature,float64,0,0.0
urea,commodity_feature,float64,0,0.0
potassium_chloride,commodity_feature,float64,0,0.0
kdci_lag_1,lag_feature,float64,1,0.04
kdci_lag_3,lag_feature,float64,3,0.12
kdci_lag_7,lag_feature,float64,7,0.27
kdci_lag_14,lag_feature,float64,14,0.54
kdci_lag_30,lag_feature,float64,30,1.16
kdci_lag_60,lag_feature,float64,60,2.32
kdci_lag_90,lag_feature,float64,90,3.49
cape_lag_1,lag_feature,float64,19,0.74
cape_lag_3,lag_feature,float64,21,0.81
