freight_class,horizon,Ridge_With_GDELT_MAE,Ridge_No_GDELT_MAE,MAE_Diff_Pct,With_GDELT_R2,No_GDELT_R2,With_GDELT_DirAcc,No_GDELT_DirAcc
kdci,1d,429.52,405.09,-5.69,0.9898,0.9909,0.7649,0.7804
kdci,7d,1684.89,1631.7,-3.16,0.8305,0.8416,0.6903,0.6929
kdci,14d,2198.59,2187.83,-0.49,0.6887,0.6909,0.623,0.6203
kdci,30d,2783.47,2795.91,0.45,0.484,0.4861,0.6788,0.7263
cape,1d,815.55,786.01,-3.62,0.9882,0.9889,0.8475,0.863
cape,7d,7170.55,7018.38,-2.12,0.2579,0.2922,0.5643,0.5538
cape,14d,10259.92,10046.26,-2.08,-0.5378,-0.4817,0.5615,0.5695
cape,30d,10186.96,10496.51,3.04,-0.5712,-0.6702,0.5642,0.5531
panamax,1d,305.96,326.86,6.83,0.9894,0.9883,0.7778,0.739
panamax,7d,985.83,931.23,-5.54,0.886,0.8985,0.7848,0.8136
panamax,14d,1121.53,1113.64,-0.7,0.8247,0.8276,0.8422,0.8342
panamax,30d,1692.87,1670.29,-1.33,0.6072,0.621,0.7961,0.8156
supramax,1d,236.78,247.73,4.62,0.9923,0.9917,0.6822,0.677
supramax,7d,1030.75,1045.34,1.42,0.8574,0.8498,0.7612,0.7428
supramax,14d,1154.47,1208.97,4.72,0.8308,0.8158,0.7995,0.7781
supramax,30d,1562.81,1520.15,-2.73,0.6697,0.6846,0.7793,0.7961
handy,1d,598.76,525.17,-12.29,0.9295,0.9448,0.5711,0.5736
handy,7d,1558.25,809.46,-48.05,0.3699,0.8113,0.6535,0.7638
handy,14d,1446.02,1431.8,-0.98,0.3861,0.3663,0.6952,0.7112
handy,30d,2223.08,2152.5,-3.17,-0.4205,-0.3431,0.7486,0.7486
