model,freight_class,horizon,MAE,RMSE,sMAPE,R2,directional_accuracy,n_test
Persistence,kdci,1d,359.71,476.57,1.86,0.9922,0.0078,387
Persistence,kdci,7d,1555.93,1924.82,8.22,0.8653,0.0,381
Persistence,kdci,14d,2216.83,2836.97,12.0,0.6865,0.0,374
Persistence,kdci,30d,3014.7,3899.29,16.22,0.3501,0.0,358
Persistence,cape,1d,1043.46,1383.49,3.56,0.983,0.0026,387
Persistence,cape,7d,4050.81,5074.8,14.26,0.7605,0.0,381
Persistence,cape,14d,5520.52,7026.42,20.07,0.5099,0.0,374
Persistence,cape,30d,6592.69,8619.47,23.46,0.1985,0.0,358
Persistence,panamax,1d,246.02,332.95,1.63,0.9923,0.0,387
Persistence,panamax,7d,1200.6,1482.15,7.98,0.8356,0.0,381
Persistence,panamax,14d,1769.57,2245.92,11.55,0.6025,0.0,374
Persistence,panamax,30d,2609.32,3251.28,17.02,0.0758,0.0,358
Persistence,supramax,1d,156.54,220.93,1.06,0.9961,0.0026,387
Persistence,supramax,7d,852.76,1115.24,5.76,0.8947,0.0,381
Persistence,supramax,14d,1365.47,1812.22,9.13,0.7046,0.0,374
Persistence,supramax,30d,2072.98,2631.68,13.76,0.3295,0.0028,358
Persistence,handy,1d,89.17,133.76,0.9,0.997,0.0026,387
Persistence,handy,7d,454.05,634.34,4.45,0.9279,0.0,381
Persistence,handy,14d,745.25,1043.1,7.23,0.7917,0.0,374
Persistence,handy,30d,1220.1,1618.75,11.74,0.4623,0.0028,358
Ridge,kdci,1d,419.83,549.12,2.14,0.9897,0.6382,387
Ridge,kdci,7d,1853.7,2398.22,9.12,0.7909,0.5669,381
Ridge,kdci,14d,3073.82,3803.19,15.59,0.4365,0.5187,374
Ridge,kdci,30d,3455.23,4190.17,17.53,0.2496,0.5084,358
Ridge,cape,1d,1098.39,1483.25,3.66,0.9805,0.6253,387
Ridge,cape,7d,5914.19,7858.18,19.98,0.4256,0.5591,381
Ridge,cape,14d,8443.81,10956.24,29.05,-0.1917,0.5722,374
Ridge,cape,30d,8998.99,11230.4,30.65,-0.3607,0.5335,358
Ridge,panamax,1d,337.34,419.99,2.2,0.9877,0.5633,387
Ridge,panamax,7d,1592.81,1894.34,10.11,0.7315,0.5171,381
Ridge,panamax,14d,2671.18,3176.89,16.94,0.2046,0.484,374
Ridge,panamax,30d,2496.67,2971.66,15.68,0.2279,0.5866,358
Ridge,supramax,1d,212.33,285.04,1.35,0.9936,0.5917,387
Ridge,supramax,7d,984.02,1240.26,6.24,0.8697,0.6483,381
Ridge,supramax,14d,1351.36,1698.96,8.64,0.7404,0.6364,374
Ridge,supramax,30d,1713.36,2025.41,11.25,0.6029,0.757,358
Ridge,handy,1d,376.8,430.81,3.37,0.9691,0.5633,387
Ridge,handy,7d,937.01,1241.63,8.1,0.7237,0.6614,381
Ridge,handy,14d,839.3,1130.73,7.74,0.7552,0.631,374
Ridge,handy,30d,1117.89,1457.89,10.11,0.5638,0.6201,358
XGBoost,kdci,1d,362.97,483.45,1.82,0.992,0.615,387
XGBoost,kdci,7d,2085.41,2734.05,10.22,0.7282,0.5354,381
XGBoost,kdci,14d,4216.63,5218.09,21.4,-0.0607,0.5053,374
XGBoost,kdci,30d,4885.67,5791.83,25.2,-0.4338,0.5,358
XGBoost,cape,1d,1243.34,1787.03,3.87,0.9716,0.6072,387
XGBoost,cape,7d,6364.81,8714.1,20.58,0.2937,0.5774,381
XGBoost,cape,14d,9032.01,11563.62,30.99,-0.3275,0.5561,374
XGBoost,cape,30d,8989.93,11104.99,30.22,-0.3304,0.5838,358
XGBoost,panamax,1d,284.71,411.77,1.79,0.9882,0.677,387
XGBoost,panamax,7d,1565.2,1892.09,9.88,0.7322,0.5118,381
XGBoost,panamax,14d,2470.02,2930.38,15.49,0.3233,0.5187,374
XGBoost,panamax,30d,3883.62,4601.05,25.19,-0.8509,0.5279,358
XGBoost,supramax,1d,279.59,408.82,1.62,0.9868,0.6279,387
XGBoost,supramax,7d,1358.12,1638.0,8.44,0.7728,0.5669,381
XGBoost,supramax,14d,2295.85,2661.34,14.65,0.3629,0.4947,374
XGBoost,supramax,30d,3634.15,4221.73,23.89,-0.7255,0.4106,358
XGBoost,handy,1d,144.28,200.9,1.3,0.9933,0.615,387
XGBoost,handy,7d,691.02,875.01,6.17,0.8628,0.5827,381
XGBoost,handy,14d,1247.26,1533.89,11.73,0.5495,0.4679,374
XGBoost,handy,30d,2042.19,2430.35,18.96,-0.2121,0.3436,358
