pair,model,n_folds,raw_da_mean,raw_da_std,gated_da_mean,gated_da_std,coverage_mean,coverage_std,gated_f1_mean,persistence_da_mean,da_vs_persistence_mean,gate_helps_n_folds,composite_score
CAPE_1D,ElasticNet,5,0.6584,0.0378,0.8737,0.1363,0.1105,0.0943,0.4428,0.5226,0.1358,5,0.2905
CAPE_1D,GradientBoosting,5,0.6534,0.0312,0.7789,0.1768,0.1408,0.1254,0.5865,0.5226,0.1307,3,0.2923
CAPE_1D,LightGBM,5,0.6622,0.0211,0.8065,0.1035,0.1051,0.1258,0.4278,0.5226,0.1395,3,0.2615
CAPE_1D,RandomForest,5,0.6646,0.0285,0.7874,0.1877,0.151,0.1406,0.4286,0.5226,0.1419,3,0.306
CAPE_1D,Ridge,5,0.6558,0.0376,0.8753,0.1387,0.1144,0.0988,0.4443,0.5226,0.1331,5,0.2961
CAPE_1D,XGBoost,5,0.6497,0.027,0.7285,0.1045,0.1425,0.1304,0.6111,0.5226,0.1271,3,0.275
HANDY_1D,ElasticNet,5,0.63,0.0399,0.7832,0.1548,0.1173,0.0694,0.7891,0.5351,0.095,4,0.2683
HANDY_1D,GradientBoosting,5,0.6958,0.0781,0.7407,0.2493,0.1622,0.1358,0.733,0.5351,0.1608,4,0.2983
HANDY_1D,LightGBM,5,0.7005,0.0647,0.8683,0.0355,0.0846,0.0851,0.9025,0.5351,0.1655,4,0.2526
HANDY_1D,RandomForest,5,0.735,0.037,0.8636,0.1015,0.1567,0.1157,0.8044,0.5351,0.1999,4,0.3418
HANDY_1D,Ridge,5,0.6252,0.0283,0.798,0.1448,0.1189,0.0765,0.7916,0.5351,0.0902,4,0.2752
HANDY_1D,XGBoost,5,0.7333,0.0795,0.6927,0.3601,0.1206,0.0677,0.5451,0.5351,0.1982,4,0.2405
HANDY_7D,ElasticNet,5,0.5644,0.1282,0.5039,0.2074,0.1843,0.115,0.4218,0.5286,0.0359,2,0.2163
HANDY_7D,GradientBoosting,5,0.5956,0.0546,0.6562,0.0955,0.16,0.1287,0.6049,0.5286,0.0671,3,0.2625
HANDY_7D,LightGBM,5,0.5822,0.0907,0.7351,0.1811,0.1676,0.187,0.6845,0.5286,0.0537,4,0.3009
HANDY_7D,RandomForest,5,0.6253,0.0577,0.6858,0.0778,0.1434,0.1927,0.5928,0.5286,0.0968,3,0.2597
HANDY_7D,Ridge,5,0.5812,0.0971,0.4951,0.2321,0.1765,0.0965,0.3974,0.5286,0.0527,2,0.208
HANDY_7D,XGBoost,5,0.5701,0.1029,0.641,0.0642,0.1571,0.1552,0.5844,0.5286,0.0415,3,0.2541
KDCI_7D,ElasticNet,5,0.5789,0.1329,0.7658,0.1075,0.1247,0.0858,0.3688,0.4936,0.0853,4,0.2705
KDCI_7D,GradientBoosting,5,0.5797,0.0889,0.6658,0.1242,0.1833,0.2855,0.2821,0.4936,0.0862,2,0.2851
KDCI_7D,LightGBM,5,0.5645,0.111,0.8077,0.1423,0.113,0.1085,0.2105,0.4936,0.071,4,0.2715
KDCI_7D,RandomForest,5,0.5725,0.0788,0.7017,0.1181,0.1171,0.2025,0.2963,0.4936,0.0789,3,0.2402
KDCI_7D,Ridge,5,0.5877,0.1322,0.7564,0.09,0.1239,0.0766,0.2968,0.4936,0.0942,5,0.2663
KDCI_7D,XGBoost,5,0.5699,0.1071,0.6609,0.1106,0.1391,0.1984,0.2828,0.4936,0.0764,3,0.2465
PANAMAX_1D,ElasticNet,5,0.7542,0.0337,0.9224,0.0499,0.1464,0.1074,0.92,0.5353,0.2189,5,0.3529
PANAMAX_1D,GradientBoosting,5,0.7726,0.0277,0.8692,0.1513,0.1719,0.1604,0.9106,0.5353,0.2373,4,0.3604
PANAMAX_1D,LightGBM,5,0.7814,0.0464,0.9044,0.0173,0.155,0.1491,0.7412,0.5353,0.246,5,0.356
