experiment,features,smape,mae,rmse,r2,da,w_ridge,w_xgb,w_mlp,w_hybrid,best_alpha,delta_DA,delta_R2,delta_sMAPE
15-base,15,15.13,2360.86,2907.71,0.3337,45.7,0.6076,0.0,0.3924,0.0,1000.0,0.0,0.0,0.0
A: GDELT,68,11.39,1762.33,2222.74,0.6106,57.2,0.6644,0.3356,0.0,0.0,1000.0,11.5,0.27690000000000003,-3.74
B: Weather,92,10.88,1696.23,2078.11,0.6597,60.7,0.9942,0.0,0.0058,0.0,1000.0,15.0,0.32599999999999996,-4.25
C: Other Same-Day,311,11.29,1765.61,2232.06,0.6074,55.1,1.0,0.0,0.0,0.0,10000.0,9.399999999999999,0.27370000000000005,-3.8400000000000016
Original All Clean,441,11.06,1715.31,2149.77,0.6358,57.2,1.0,0.0,0.0,0.0,10000.0,11.5,0.30210000000000004,-4.07
Pair AB: Base + GDELT + Weather,145,11.22,1749.7,2151.93,0.6351,58.8,0.0,0.2336,0.123,0.6434,5000.0,13.099999999999994,0.3014,-3.91
Pair AC: Base + GDELT + Other,364,12.41,1947.76,2433.61,0.5333,55.1,0.9072,0.0,0.0928,0.0,5000.0,9.399999999999999,0.1996,-2.7200000000000006
Pair BC: Base + Weather + Other,388,11.12,1732.31,2160.51,0.6321,58.8,1.0,0.0,0.0,0.0,10000.0,13.099999999999994,0.2984,-4.010000000000002
Subset C1: Base + Same-Day Freight Levels/Routes,42,12.13,1873.67,2314.12,0.578,47.3,0.911,0.0,0.089,0.0,5000.0,1.5999999999999943,0.24429999999999996,-3.0
Subset C2: Base + Rolling/Technical Indicators,202,11.29,1757.08,2244.76,0.6029,54.3,0.9884,0.0,0.0116,0.0,10000.0,8.599999999999994,0.2692,-3.8400000000000016
