feature,source,transformation,lookback,information_cutoff,target_dependency,future_dependency,status,reason
kdci,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
cape,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
panamax,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
supramax,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
handy,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mc6,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mc7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mc8,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mc9,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mp1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mp2,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mp3,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mp4,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mp5,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mp6,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mp7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
ms1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
ms2,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
ms4,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
ms5,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
ms6,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
ms7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mh1,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mh2,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mh3,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mh4,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
mh5,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
n10d,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gprd,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gprd_act,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gprd_threat,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gprd_ma7,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gprd_ma30,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
usd_inr,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
brent_usd_per_barrel,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
wti_usd_per_barrel,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
gscpi,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
coal_australian,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
coal_south_african,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
iron_ore_cfr_spot,Commodity / Fuel Prices,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
copper,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
aluminum,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
dap,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
tsp,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
urea,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
potassium_chloride,Macro Indicator / Derived,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_lag_1,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_lag_3,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_lag_7,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
kdci_lag_14,Freight Rates,Direct/Lag/Rolling,Historical,<= t,No,No,VERIFIED,Clean historical feature computed strictly at or before t
