freight_class,horizon,feature_set,target_transformation,alpha,num_features,val_MAE,val_RMSE,val_sMAPE,val_R2,val_DirAcc
kdci,1d,full,level,10.0,441,455.07,634.44,2.75,0.9739,62.0%
kdci,1d,full,level,100.0,441,494.61,646.52,2.99,0.9729,62.0%
kdci,1d,full,level,1000.0,441,551.02,713.05,3.29,0.967,58.7%
kdci,1d,full,level,5000.0,441,833.89,1039.16,5.13,0.93,53.0%
kdci,1d,full,level,10000.0,441,1021.07,1256.09,6.38,0.8977,53.5%
kdci,1d,full,abs_change,10.0,441,419.03,582.73,2.5,0.978,61.2%
kdci,1d,full,abs_change,100.0,441,388.57,530.17,2.32,0.9818,61.8%
kdci,1d,full,abs_change,1000.0,441,321.08,452.78,1.89,0.9867,65.4%
kdci,1d,full,abs_change,5000.0,441,310.09,446.95,1.82,0.9871,68.2%
kdci,1d,full,abs_change,10000.0,441,315.56,456.28,1.84,0.9865,67.7%
kdci,1d,full,pct_change,10.0,441,2258.0,3121.85,13.39,0.3684,54.8%
kdci,1d,full,pct_change,100.0,441,1478.07,2032.56,9.24,0.7323,51.2%
kdci,1d,full,pct_change,1000.0,441,939.68,1192.85,5.65,0.9078,51.7%
kdci,1d,full,pct_change,5000.0,441,596.61,781.82,3.49,0.9604,50.6%
kdci,1d,full,pct_change,10000.0,441,503.27,675.3,2.93,0.9704,50.4%
kdci,1d,compact,level,10.0,218,881.92,1291.72,5.51,0.8919,49.6%
kdci,1d,compact,level,100.0,218,893.85,1184.14,5.33,0.9091,47.8%
kdci,1d,compact,level,1000.0,218,1132.16,1502.4,6.86,0.8537,43.7%
kdci,1d,compact,level,5000.0,218,1580.68,2024.11,9.99,0.7345,46.3%
kdci,1d,compact,level,10000.0,218,1805.8,2296.17,11.46,0.6583,47.8%
kdci,1d,compact,abs_change,10.0,218,454.18,682.71,2.75,0.9698,60.5%
kdci,1d,compact,abs_change,100.0,218,387.02,548.49,2.29,0.9805,58.9%
kdci,1d,compact,abs_change,1000.0,218,344.22,495.83,2.03,0.9841,59.2%
kdci,1d,compact,abs_change,5000.0,218,343.93,492.52,2.02,0.9843,59.2%
kdci,1d,compact,abs_change,10000.0,218,346.74,494.89,2.03,0.9841,58.7%
