window,train_start,train_end,validation_start,validation_end,target,horizon,model,transform,feature_set,MAE,RMSE,sMAPE,R2,directional_accuracy,UP_count,DOWN_count,UP_recall,DOWN_recall,always_up_accuracy,always_down_accuracy,N
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,handy,30d,Persistence,level,none,4819.09,6355.9,22.04,-0.4764,N/A,165,77,N/A,N/A,68.2%,31.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,handy,30d,Naive_Mean_Change,abs_change,none,4766.15,6328.41,21.69,-0.4636,68.2%,165,77,100.0%,0.0%,68.2%,31.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,handy,30d,Ridge,abs_change,full,4887.22,5703.48,21.85,-0.1888,47.1%,165,77,22.4%,100.0%,68.2%,31.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,handy,30d,XGBoost,abs_change,full,3573.1,5138.59,16.06,0.035,97.5%,165,77,100.0%,92.2%,68.2%,31.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,handy,30d,Neural_Net,abs_change,full,8613.35,9492.85,41.82,-2.2934,41.7%,165,77,14.5%,100.0%,68.2%,31.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,handy,30d,Ridge_Residual_Hybrid,abs_change,full,4687.29,5499.66,20.81,-0.1054,51.2%,165,77,28.5%,100.0%,68.2%,31.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,handy,30d,Validation_Weighted_Ensemble,abs_change,full,7248.79,8072.07,34.16,-1.3813,43.8%,165,77,17.6%,100.0%,68.2%,31.8%,242
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,handy,30d,Persistence,level,none,4653.98,5846.43,24.33,0.5098,N/A,56,185,N/A,N/A,23.2%,76.8%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,handy,30d,Naive_Mean_Change,abs_change,none,4832.97,5941.12,25.41,0.4938,23.2%,56,185,100.0%,0.0%,23.2%,76.8%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,handy,30d,Ridge,abs_change,full,4445.33,23875.93,16.01,-7.1755,88.0%,56,185,69.6%,93.5%,23.2%,76.8%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,handy,30d,XGBoost,abs_change,full,3540.84,4728.79,18.22,0.6793,94.2%,56,185,100.0%,92.4%,23.2%,76.8%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,handy,30d,Neural_Net,abs_change,full,8575.26,71750.53,21.77,-72.8314,79.3%,56,185,44.6%,89.7%,23.2%,76.8%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,handy,30d,Ridge_Residual_Hybrid,abs_change,full,4486.7,23910.9,15.98,-7.1994,88.4%,56,185,71.4%,93.5%,23.2%,76.8%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,handy,30d,Validation_Weighted_Ensemble,abs_change,full,3481.39,4686.91,17.85,0.685,94.2%,56,185,100.0%,92.4%,23.2%,76.8%,241
Window_3,2016-01-04,2022-12-23,2023-01-03,2023-12-22,handy,30d,Persistence,level,none,1568.5,1838.77,17.89,-1.079,N/A,111,129,N/A,N/A,46.2%,53.8%,240
Window_3,2016-01-04,2022-12-23,2023-01-03,2023-12-22,handy,30d,Naive_Mean_Change,abs_change,none,1573.96,1829.57,17.89,-1.0583,46.2%,111,129,100.0%,0.0%,46.2%,53.8%,240
Window_3,2016-01-04,2022-12-23,2023-01-03,2023-12-22,handy,30d,Ridge,abs_change,full,1493.88,1968.49,18.47,-1.3827,83.3%,111,129,81.1%,85.3%,46.2%,53.8%,240
Window_3,2016-01-04,2022-12-23,2023-01-03,2023-12-22,handy,30d,XGBoost,abs_change,full,1815.17,2295.2,17.4,-2.2393,99.2%,111,129,99.1%,99.2%,46.2%,53.8%,240
