window,train_start,train_end,validation_start,validation_end,target,horizon,model,transform,feature_set,MAE,RMSE,sMAPE,R2,directional_accuracy,UP_count,DOWN_count,UP_recall,DOWN_recall,always_up_accuracy,always_down_accuracy,N
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,1d,Persistence,level,none,623.29,849.22,2.18,0.9912,N/A,126,116,N/A,N/A,52.1%,47.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,1d,Naive_Mean_Change,abs_change,none,623.0,848.88,2.18,0.9912,52.1%,126,116,100.0%,0.0%,52.1%,47.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,1d,Ridge,abs_change,full,638.04,890.05,2.16,0.9903,58.7%,126,116,98.4%,15.5%,52.1%,47.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,1d,XGBoost,abs_change,full,423.46,650.5,1.47,0.9948,96.7%,126,116,94.4%,99.1%,52.1%,47.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,1d,Neural_Net,abs_change,full,1545.5,1846.98,5.69,0.9583,49.2%,126,116,7.9%,94.0%,52.1%,47.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,1d,Ridge_Residual_Hybrid,abs_change,full,638.72,951.45,2.19,0.9889,66.5%,126,116,98.4%,31.9%,52.1%,47.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,1d,Validation_Weighted_Ensemble,abs_change,full,423.46,650.5,1.47,0.9948,96.7%,126,116,94.4%,99.1%,52.1%,47.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,7d,Persistence,level,none,3159.17,3947.98,10.88,0.7991,N/A,136,106,N/A,N/A,56.2%,43.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,7d,Naive_Mean_Change,abs_change,none,3152.42,3944.62,10.84,0.7994,56.2%,136,106,100.0%,0.0%,56.2%,43.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,7d,Ridge,abs_change,full,2502.1,3316.32,8.33,0.8582,75.6%,136,106,99.3%,45.3%,56.2%,43.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,7d,XGBoost,abs_change,full,1891.0,2653.03,6.35,0.9093,100.0%,136,106,100.0%,100.0%,56.2%,43.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,7d,Neural_Net,abs_change,full,3702.8,4666.15,13.17,0.7193,55.0%,136,106,31.6%,84.9%,56.2%,43.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,7d,Ridge_Residual_Hybrid,abs_change,full,2166.77,2858.11,7.24,0.8947,85.1%,136,106,99.3%,67.0%,56.2%,43.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,7d,Validation_Weighted_Ensemble,abs_change,full,1929.52,2655.79,6.47,0.9091,95.5%,136,106,100.0%,89.6%,56.2%,43.8%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,14d,Persistence,level,none,4953.96,6334.76,17.07,0.4699,N/A,138,104,N/A,N/A,57.0%,43.0%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,14d,Naive_Mean_Change,abs_change,none,4936.41,6329.13,16.96,0.4708,57.0%,138,104,100.0%,0.0%,57.0%,43.0%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,14d,Ridge,abs_change,full,3364.1,4582.34,11.26,0.7226,85.5%,138,104,97.1%,70.2%,57.0%,43.0%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,14d,XGBoost,abs_change,full,3025.32,4239.83,9.98,0.7625,100.0%,138,104,100.0%,100.0%,57.0%,43.0%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,14d,Neural_Net,abs_change,full,7917.33,9565.11,28.47,-0.2087,52.5%,138,104,21.7%,93.3%,57.0%,43.0%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,14d,Ridge_Residual_Hybrid,abs_change,full,2998.69,4168.0,9.95,0.7705,90.1%,138,104,97.8%,79.8%,57.0%,43.0%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,14d,Validation_Weighted_Ensemble,abs_change,full,2895.01,4103.74,9.58,0.7775,96.3%,138,104,100.0%,91.3%,57.0%,43.0%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,30d,Persistence,level,none,7103.86,8988.99,24.34,-0.1705,N/A,156,86,N/A,N/A,64.5%,35.5%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,30d,Naive_Mean_Change,abs_change,none,7025.55,8975.36,23.92,-0.167,64.5%,156,86,100.0%,0.0%,64.5%,35.5%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,30d,Ridge,abs_change,full,5623.53,6619.32,19.68,0.3653,62.0%,156,86,41.0%,100.0%,64.5%,35.5%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,30d,XGBoost,abs_change,full,4978.52,6598.07,17.27,0.3694,100.0%,156,86,100.0%,100.0%,64.5%,35.5%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,30d,Neural_Net,abs_change,full,12979.61,14263.94,56.17,-1.9473,36.0%,156,86,1.3%,98.8%,64.5%,35.5%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,30d,Ridge_Residual_Hybrid,abs_change,full,4888.93,5839.24,17.36,0.5061,74.0%,156,86,59.6%,100.0%,64.5%,35.5%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,kdci,30d,Validation_Weighted_Ensemble,abs_change,full,6349.48,7308.03,23.05,0.2263,54.5%,156,86,29.5%,100.0%,64.5%,35.5%,242
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,kdci,1d,Persistence,level,none,452.61,620.63,2.23,0.9882,N/A,102,139,N/A,N/A,42.3%,57.7%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,kdci,1d,Naive_Mean_Change,abs_change,none,454.69,621.77,2.24,0.9882,42.3%,102,139,100.0%,0.0%,42.3%,57.7%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,kdci,1d,Ridge,abs_change,full,324.49,493.69,1.61,0.9925,88.4%,102,139,85.3%,90.6%,42.3%,57.7%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,kdci,1d,XGBoost,abs_change,full,285.68,395.9,1.41,0.9952,97.5%,102,139,100.0%,95.7%,42.3%,57.7%,241
