window,train_start,train_end,validation_start,validation_end,target,horizon,model,transform,feature_set,MAE,RMSE,sMAPE,R2,directional_accuracy,UP_count,DOWN_count,UP_recall,DOWN_recall,always_up_accuracy,always_down_accuracy,N
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,1d,Persistence,level,none,488.77,748.23,1.85,0.9889,N/A,130,111,N/A,N/A,53.7%,45.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,1d,Naive_Mean_Change,abs_change,none,488.27,747.77,1.84,0.9889,53.7%,130,111,100.0%,0.0%,53.7%,45.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,1d,Ridge,abs_change,full,392.47,631.31,1.5,0.9921,80.2%,130,111,92.3%,66.7%,53.7%,45.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,1d,XGBoost,abs_change,full,401.12,624.15,1.48,0.9922,99.6%,130,111,100.0%,100.0%,53.7%,45.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,1d,Neural_Net,abs_change,full,1131.49,1320.23,4.03,0.9653,47.1%,130,111,5.4%,96.4%,53.7%,45.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,1d,Ridge_Residual_Hybrid,abs_change,full,382.05,595.35,1.44,0.9929,91.7%,130,111,99.2%,83.8%,53.7%,45.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,1d,Validation_Weighted_Ensemble,abs_change,full,381.48,595.09,1.44,0.993,91.7%,130,111,99.2%,83.8%,53.7%,45.9%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,7d,Persistence,level,none,2599.29,3447.03,9.65,0.7388,N/A,139,103,N/A,N/A,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,7d,Naive_Mean_Change,abs_change,none,2591.75,3441.94,9.61,0.7396,57.4%,139,103,100.0%,0.0%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,7d,Ridge,abs_change,full,2124.38,2864.96,7.9,0.8196,80.2%,139,103,73.4%,89.3%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,7d,XGBoost,abs_change,full,1834.86,2700.52,6.91,0.8397,100.0%,139,103,100.0%,100.0%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,7d,Neural_Net,abs_change,full,6492.19,7238.1,24.75,-0.1516,44.6%,139,103,4.3%,99.0%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,7d,Ridge_Residual_Hybrid,abs_change,full,1950.21,2658.18,7.28,0.8447,86.4%,139,103,81.3%,93.2%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,7d,Validation_Weighted_Ensemble,abs_change,full,1931.59,2652.48,7.22,0.8453,88.0%,139,103,84.2%,93.2%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,14d,Persistence,level,none,3695.67,4909.29,13.67,0.4205,N/A,139,103,N/A,N/A,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,14d,Naive_Mean_Change,abs_change,none,3678.43,4897.55,13.57,0.4232,57.4%,139,103,100.0%,0.0%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,14d,Ridge,abs_change,full,3652.45,4328.35,13.22,0.5495,64.0%,139,103,39.6%,97.1%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,14d,XGBoost,abs_change,full,2721.79,3716.57,10.26,0.6679,100.0%,139,103,100.0%,100.0%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,14d,Neural_Net,abs_change,full,11622.9,12863.89,49.07,-2.9791,45.0%,139,103,4.3%,100.0%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,14d,Ridge_Residual_Hybrid,abs_change,full,3572.07,4164.69,12.93,0.5829,69.0%,139,103,47.5%,98.1%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,14d,Validation_Weighted_Ensemble,abs_change,full,3225.46,3908.17,11.81,0.6327,75.6%,139,103,58.3%,99.0%,57.4%,42.6%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,30d,Persistence,level,none,5377.11,6781.15,20.19,-0.2738,N/A,152,90,N/A,N/A,62.8%,37.2%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,30d,Naive_Mean_Change,abs_change,none,5311.91,6754.41,19.84,-0.2638,62.8%,152,90,100.0%,0.0%,62.8%,37.2%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,30d,Ridge,abs_change,full,6372.99,7141.62,24.72,-0.4129,49.2%,152,90,19.1%,100.0%,62.8%,37.2%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,30d,XGBoost,abs_change,full,3264.82,4491.52,12.33,0.4411,100.0%,152,90,100.0%,100.0%,62.8%,37.2%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,30d,Neural_Net,abs_change,full,12850.19,14191.88,57.27,-4.5794,45.0%,152,90,12.5%,100.0%,62.8%,37.2%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,30d,Ridge_Residual_Hybrid,abs_change,full,5519.18,6220.85,20.96,-0.072,50.8%,152,90,21.7%,100.0%,62.8%,37.2%,242
Window_1,2016-01-04,2020-12-24,2021-01-05,2021-12-24,panamax,30d,Validation_Weighted_Ensemble,abs_change,full,5091.51,5754.3,19.18,0.0827,53.7%,152,90,26.3%,100.0%,62.8%,37.2%,242
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,panamax,1d,Persistence,level,none,383.86,543.85,1.78,0.9893,N/A,88,153,N/A,N/A,36.5%,63.5%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,panamax,1d,Naive_Mean_Change,abs_change,none,387.85,545.33,1.8,0.9892,36.5%,88,153,100.0%,0.0%,36.5%,63.5%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,panamax,1d,Ridge,abs_change,full,407.16,2083.22,1.64,0.8425,87.6%,88,153,75.0%,94.8%,36.5%,63.5%,241
Window_2,2016-01-04,2021-12-24,2022-01-03,2022-12-23,panamax,1d,XGBoost,abs_change,full,224.04,347.94,1.07,0.9956,100.0%,88,153,100.0%,100.0%,36.5%,63.5%,241
