target,horizon,model,mean_sMAPE,std_sMAPE,best_sMAPE,worst_sMAPE,mean_R2,std_R2,mean_direction,std_direction,mean_vs_persistence_improvement,stability_class
cape,14d,Naive_Mean_Change,28.87,4.53,23.33,35.06,-0.1015,0.2262,51.5%,4.29,0.09,REGIME_DEPENDENT
cape,14d,Neural_Net,29.97,14.69,15.44,54.92,-328.27,657.1884,74.0%,12.45,-1.01,REGIME_DEPENDENT
cape,14d,Persistence,28.96,4.53,23.44,35.12,-0.1005,0.2249,N/A,0.0,0.0,REGIME_DEPENDENT
cape,14d,Ridge,19.81,6.49,11.97,31.1,0.3795,0.4197,83.9%,10.17,9.15,REGIME_DEPENDENT
cape,14d,Ridge_Residual_Hybrid,18.73,5.45,12.31,28.27,0.4632,0.3332,89.2%,6.63,10.23,REGIME_DEPENDENT
cape,14d,Validation_Weighted_Ensemble,14.95,2.64,11.69,17.77,0.6801,0.0551,96.5%,3.96,14.01,REGIME_DEPENDENT
cape,14d,XGBoost,16.14,2.42,12.14,19.15,0.6326,0.057,98.8%,1.35,12.82,REGIME_DEPENDENT
cape,1d,Naive_Mean_Change,4.71,0.91,3.82,6.37,0.9659,0.0129,47.8%,2.87,-0.0,UNDERFIT / OVERFIT_RISK
cape,1d,Neural_Net,7.15,4.18,3.17,13.15,-2.7163,7.3496,71.2%,15.6,-2.44,REGIME_DEPENDENT
cape,1d,Persistence,4.71,0.91,3.82,6.36,0.9659,0.0129,N/A,0.0,0.0,REGIME_DEPENDENT
cape,1d,Ridge,3.48,1.15,2.39,5.63,0.9621,0.0469,87.6%,6.65,1.23,ROBUST
cape,1d,Ridge_Residual_Hybrid,3.51,1.21,2.37,5.21,0.9646,0.0464,96.9%,2.05,1.19,ROBUST
cape,1d,Validation_Weighted_Ensemble,2.85,0.66,2.16,3.99,0.987,0.0051,98.7%,1.09,1.86,ROBUST
cape,1d,XGBoost,2.83,0.65,2.11,3.99,0.9863,0.0052,98.1%,1.21,1.88,ROBUST
cape,30d,Naive_Mean_Change,35.38,7.0,25.83,43.66,-0.5543,0.2457,49.6%,7.86,0.1,REGIME_DEPENDENT
cape,30d,Neural_Net,54.22,35.86,23.11,111.28,-144.5504,288.3383,67.4%,10.83,-18.74,REGIME_DEPENDENT
cape,30d,Persistence,35.48,7.11,25.99,43.78,-0.5527,0.2464,N/A,0.0,0.0,REGIME_DEPENDENT
cape,30d,Ridge,25.45,11.61,15.22,47.48,-0.0646,0.9801,80.9%,14.67,10.03,REGIME_DEPENDENT
cape,30d,Ridge_Residual_Hybrid,24.73,11.59,15.28,47.24,-0.0571,1.088,85.9%,12.97,10.75,REGIME_DEPENDENT
cape,30d,Validation_Weighted_Ensemble,18.9,3.37,14.46,23.12,0.5381,0.0714,95.8%,2.62,16.58,REGIME_DEPENDENT
cape,30d,XGBoost,21.25,4.42,15.94,26.88,0.4473,0.0828,98.2%,2.11,14.23,REGIME_DEPENDENT
cape,7d,Naive_Mean_Change,19.27,3.03,15.88,24.21,0.495,0.1291,51.1%,3.43,0.02,REGIME_DEPENDENT
cape,7d,Neural_Net,22.5,12.9,12.97,47.79,-176.1263,353.518,72.6%,7.61,-3.2,REGIME_DEPENDENT
cape,7d,Persistence,19.29,3.04,15.88,24.24,0.4954,0.1285,N/A,0.0,0.0,REGIME_DEPENDENT
cape,7d,Ridge,14.13,4.39,8.77,20.89,0.5839,0.3658,83.6%,7.47,5.16,REGIME_DEPENDENT
cape,7d,Ridge_Residual_Hybrid,13.51,3.72,8.91,19.42,0.6295,0.3414,89.6%,5.56,5.78,REGIME_DEPENDENT
cape,7d,Validation_Weighted_Ensemble,11.09,2.04,8.42,13.51,0.8084,0.0451,96.1%,2.91,8.2,PROMISING
cape,7d,XGBoost,10.75,1.6,8.87,13.43,0.8056,0.0437,97.9%,0.84,8.54,PROMISING
handy,14d,Naive_Mean_Change,11.28,3.01,7.41,15.09,0.5033,0.2326,47.1%,12.99,-0.07,UNDERFIT / OVERFIT_RISK
handy,14d,Neural_Net,13.13,5.28,6.8,21.6,-6.5941,13.7647,66.1%,9.85,-1.92,REGIME_DEPENDENT
handy,14d,Persistence,11.21,2.95,7.3,14.67,0.5039,0.235,N/A,0.0,0.0,REGIME_DEPENDENT
handy,14d,Ridge,8.95,2.24,5.65,12.06,-1.0761,3.4279,82.6%,4.17,2.26,ROBUST
handy,14d,Ridge_Residual_Hybrid,9.14,2.24,5.41,11.28,-1.148,3.4233,84.9%,4.66,2.07,ROBUST
handy,14d,Validation_Weighted_Ensemble,7.68,2.33,5.07,11.62,0.7455,0.1287,89.2%,4.86,3.52,ROBUST
handy,14d,XGBoost,8.59,1.86,6.05,10.69,0.5379,0.3806,95.9%,3.15,2.62,ROBUST
handy,1d,Naive_Mean_Change,1.23,0.23,0.88,1.48,0.9923,0.0043,47.1%,9.46,-0.0,UNDERFIT / OVERFIT_RISK
handy,1d,Neural_Net,1.67,0.69,0.9,2.52,0.8658,0.2486,66.2%,16.48,-0.44,UNDERFIT / OVERFIT_RISK
handy,1d,Persistence,1.23,0.23,0.87,1.46,0.9923,0.0043,N/A,0.0,0.0,REGIME_DEPENDENT
handy,1d,Ridge,1.01,0.21,0.73,1.27,0.9944,0.0034,81.5%,6.79,0.22,REGIME_DEPENDENT
handy,1d,Ridge_Residual_Hybrid,1.0,0.21,0.74,1.31,0.9943,0.0035,84.9%,5.01,0.23,REGIME_DEPENDENT
handy,1d,Validation_Weighted_Ensemble,0.8,0.19,0.52,1.01,0.9963,0.0019,97.0%,1.96,0.43,REGIME_DEPENDENT
handy,1d,XGBoost,0.85,0.23,0.52,1.18,0.9957,0.0028,98.9%,0.44,0.38,REGIME_DEPENDENT
handy,30d,Naive_Mean_Change,17.74,5.4,10.82,25.41,-0.1665,0.5521,49.5%,18.35,-0.15,REGIME_DEPENDENT
handy,30d,Neural_Net,21.26,11.2,9.52,41.82,-15.2502,28.8106,65.7%,13.51,-3.68,REGIME_DEPENDENT
handy,30d,Persistence,17.58,5.16,11.03,24.33,-0.1685,0.5669,N/A,0.0,0.0,REGIME_DEPENDENT
handy,30d,Ridge,15.09,4.88,9.45,21.85,-1.589,2.8708,76.4%,15.32,2.5,REGIME_DEPENDENT
handy,30d,Ridge_Residual_Hybrid,15.31,5.08,9.45,20.81,-1.6567,2.8893,76.0%,13.32,2.28,REGIME_DEPENDENT
handy,30d,Validation_Weighted_Ensemble,15.72,9.97,6.76,34.16,0.1165,0.8123,83.8%,20.19,1.87,REGIME_DEPENDENT
handy,30d,XGBoost,13.67,4.46,7.29,18.22,-0.0613,1.1137,97.8%,1.99,3.92,REGIME_DEPENDENT
handy,7d,Naive_Mean_Change,6.79,1.66,4.33,8.71,0.8126,0.0897,48.0%,10.03,-0.03,UNDERFIT / OVERFIT_RISK
handy,7d,Neural_Net,7.07,2.66,4.14,10.86,-3.3095,8.2226,69.1%,14.26,-0.31,UNDERFIT / OVERFIT_RISK
handy,7d,Persistence,6.75,1.64,4.28,8.53,0.8129,0.0902,N/A,0.0,0.0,REGIME_DEPENDENT
handy,7d,Ridge,5.31,1.19,3.51,6.79,0.3332,1.0576,86.1%,1.93,1.45,ROBUST
handy,7d,Ridge_Residual_Hybrid,5.3,1.15,3.49,6.77,0.3272,1.0658,86.8%,5.12,1.46,ROBUST
handy,7d,Validation_Weighted_Ensemble,4.34,1.16,2.8,6.11,0.9156,0.0383,95.9%,2.18,2.41,ROBUST
handy,7d,XGBoost,4.88,1.31,3.05,6.46,0.8829,0.0827,98.1%,1.06,1.87,ROBUST
kdci,14d,Naive_Mean_Change,16.13,2.49,12.88,19.02,0.3796,0.1237,48.6%,6.27,-0.01,UNDERFIT / OVERFIT_RISK
kdci,14d,Neural_Net,17.15,6.6,9.22,28.47,-30.7555,62.1835,71.3%,9.76,-1.03,REGIME_DEPENDENT
kdci,14d,Persistence,16.12,2.47,12.85,18.85,0.3814,0.1238,N/A,0.0,0.0,REGIME_DEPENDENT
kdci,14d,Ridge,9.49,2.85,6.16,14.08,-0.0182,1.6215,86.6%,5.66,6.63,ROBUST
kdci,14d,Ridge_Residual_Hybrid,9.12,2.91,6.14,14.33,-0.001,1.6369,88.8%,7.73,7.0,ROBUST
kdci,14d,Validation_Weighted_Ensemble,7.45,1.37,5.98,9.58,0.8485,0.0489,96.8%,2.13,8.67,ROBUST
kdci,14d,XGBoost,8.36,1.51,6.38,10.27,0.8191,0.0555,99.8%,0.32,7.76,ROBUST
kdci,1d,Naive_Mean_Change,2.12,0.17,1.91,2.32,0.9859,0.0058,47.8%,5.76,-0.0,UNDERFIT / OVERFIT_RISK
kdci,1d,Neural_Net,3.55,1.77,1.71,5.69,-2.4261,6.8079,68.8%,11.98,-1.44,UNDERFIT / OVERFIT_RISK
kdci,1d,Persistence,2.11,0.17,1.9,2.32,0.9859,0.0058,N/A,0.0,0.0,REGIME_DEPENDENT
kdci,1d,Ridge,1.52,0.36,1.14,2.16,0.9924,0.0023,86.3%,14.11,0.59,REGIME_DEPENDENT
kdci,1d,Ridge_Residual_Hybrid,1.57,0.39,1.14,2.19,0.9924,0.0026,90.2%,11.93,0.55,REGIME_DEPENDENT
kdci,1d,Validation_Weighted_Ensemble,1.24,0.18,1.01,1.47,0.9949,0.0016,98.4%,1.22,0.88,REGIME_DEPENDENT
kdci,1d,XGBoost,1.27,0.19,1.03,1.47,0.9947,0.0016,98.6%,1.28,0.84,REGIME_DEPENDENT
kdci,30d,Naive_Mean_Change,22.15,3.73,17.31,26.83,-0.1127,0.2907,51.3%,13.09,0.01,REGIME_DEPENDENT
kdci,30d,Neural_Net,27.55,16.48,13.05,56.17,-96.2893,192.0284,66.8%,16.18,-5.39,REGIME_DEPENDENT
kdci,30d,Persistence,22.16,3.7,17.5,26.41,-0.1098,0.3031,N/A,0.0,0.0,REGIME_DEPENDENT
kdci,30d,Ridge,15.15,6.44,7.9,24.94,-0.4352,2.0504,78.8%,14.14,7.02,REGIME_DEPENDENT
