target,event_date,event_type,pre_shock_baseline,peak_displacement_pct,peak_lag_days,recovery_days,response_direction
kdci,2022-02-15,GDELT_Burst,21779.0,36.26,17,0,POSITIVE
kdci,2023-10-25,GDELT_Burst,18467.0,51.41,28,0,POSITIVE
kdci,2024-09-24,GDELT_Burst,20309.0,-29.78,25,0,NEGATIVE
cape,2022-02-15,GDELT_Burst,16738.0,40.25,21,0,POSITIVE
cape,2023-10-25,GDELT_Burst,27899.0,76.26,27,0,POSITIVE
cape,2024-09-24,GDELT_Burst,32319.0,-45.1,23,0,NEGATIVE
panamax,2022-02-15,GDELT_Burst,22266.0,38.62,16,0,POSITIVE
panamax,2023-10-25,GDELT_Burst,15173.0,41.98,29,0,POSITIVE
panamax,2024-09-24,GDELT_Burst,14596.0,-18.29,30,0,NEGATIVE
supramax,2022-02-15,GDELT_Burst,26266.0,35.74,25,0,POSITIVE
supramax,2023-10-25,GDELT_Burst,15088.0,30.96,29,0,POSITIVE
supramax,2024-09-24,GDELT_Burst,16704.0,-20.74,30,0,NEGATIVE
handy,2022-02-15,GDELT_Burst,21976.0,54.37,25,0,POSITIVE
handy,2023-10-25,GDELT_Burst,10189.0,-21.28,15,0,NEGATIVE
handy,2024-09-24,GDELT_Burst,12241.0,-15.52,30,0,NEGATIVE
