feature_name,computation_formula,window_start,window_end,includes_future_t_plus_h,is_suspect,suspect_reason
kdci,kdci(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
cape,cape(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
panamax,panamax(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
supramax,supramax(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
handy,handy(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mc6,mc6(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mc7,mc7(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mc8,mc8(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mc9,mc9(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mp1,mp1(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mp2,mp2(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mp3,mp3(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mp4,mp4(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mp5,mp5(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mp6,mp6(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mp7,mp7(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
ms1,ms1(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
ms2,ms2(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
ms4,ms4(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
ms5,ms5(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
ms6,ms6(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
ms7,ms7(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mh1,mh1(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mh2,mh2(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mh3,mh3(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mh4,mh4(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
mh5,mh5(t),t,t,False,True,Raw unshifted same-day price/index at t (window_end = t)
n10d,n10d(t),t,t,False,True,Same-day market/commodity observation at t (window_end = t)
gprd,gprd(t),t,t,False,True,Same-day market/commodity observation at t (window_end = t)
gprd_act,gprd_act(t),t,t,False,True,Same-day market/commodity observation at t (window_end = t)
gprd_threat,gprd_threat(t),t,t,False,True,Same-day market/commodity observation at t (window_end = t)
gprd_ma7,gprd_ma7(t),t,t,False,True,Same-day market/commodity observation at t (window_end = t)
gprd_ma30,gprd_ma30(t),t,t,False,True,Same-day market/commodity observation at t (window_end = t)
