pair,fold,winner,te_r2,te_da,perm_max,n_fired,verdict
cape_1d,1,RandomForest,0.1772832324849335,66.8,59.199999999999996,85,GENUINE SIGNAL
cape_7d,1,Ridge,0.08311442983546924,57.599999999999994,60.8,76,FAILS PERMUTATION TEST
cape_14d,1,Ridge,-0.15115208812857128,59.599999999999994,62.4,111,FAILS PERMUTATION TEST
cape_30d,1,ElasticNet,-0.6222699346760097,63.6,63.2,184,UNDERFIT
panamax_1d,1,RandomForest,0.23222898510055545,80.80000000000001,54.0,58,GENUINE SIGNAL
panamax_7d,1,ElasticNet,-0.017510499696997694,58.8,61.6,142,FAILS PERMUTATION TEST
panamax_14d,1,XGBoost,-0.00200343821475113,59.199999999999996,60.8,0,INSUFFICIENT SAMPLE SIZE
panamax_30d,1,Ridge,-0.3075026757835304,59.199999999999996,67.60000000000001,250,FAILS PERMUTATION TEST
supramax_1d,1,RandomForest,-0.32919790891573175,75.6,61.199999999999996,65,UNDERFIT
supramax_7d,1,Ridge,0.19168719135603174,61.6,59.199999999999996,141,GENUINE SIGNAL
supramax_14d,1,LightGBM,-0.3078617373842196,51.2,54.800000000000004,250,FAILS PERMUTATION TEST
supramax_30d,1,RandomForest,-0.09951410684620843,56.39999999999999,66.0,250,FAILS PERMUTATION TEST
handy_1d,1,RandomForest,-0.013225077727099688,73.49397590361446,59.43775100401606,45,UNDERFIT
handy_7d,1,Ridge,0.21972983554946302,69.19999999999999,61.6,81,GENUINE SIGNAL
handy_14d,1,RandomForest,-0.046595240811983185,54.400000000000006,56.00000000000001,132,FAILS PERMUTATION TEST
handy_30d,1,RandomForest,-0.00872087337160976,59.599999999999994,61.6,250,FAILS PERMUTATION TEST
kdci_1d,1,RandomForest,-0.2686168890340035,63.6,54.400000000000006,42,UNDERFIT
kdci_7d,1,Ridge,0.19374092961195433,57.99999999999999,63.6,57,FAILS PERMUTATION TEST
kdci_14d,1,Ridge,0.1969380283309412,54.0,62.0,62,FAILS PERMUTATION TEST
kdci_30d,1,ElasticNet,0.08652761790514574,54.400000000000006,62.4,135,FAILS PERMUTATION TEST
cape_1d,2,RandomForest,0.22849614416789965,65.60000000000001,57.199999999999996,0,INSUFFICIENT SAMPLE SIZE
cape_7d,2,ElasticNet,-0.1840455926556699,54.21686746987952,56.22489959839358,0,INSUFFICIENT SAMPLE SIZE
cape_14d,2,XGBoost,0.31778763981057456,68.0,56.39999999999999,4,INSUFFICIENT SAMPLE SIZE
cape_30d,2,Ridge,-0.12268543285986189,58.4,67.60000000000001,0,INSUFFICIENT SAMPLE SIZE
panamax_1d,2,XGBoost,0.37212592137107325,80.80000000000001,60.4,4,INSUFFICIENT SAMPLE SIZE
panamax_7d,2,Ridge,-0.6975039638505114,43.6,55.60000000000001,48,FAILS PERMUTATION TEST
panamax_14d,2,XGBoost,-0.036184095670180216,57.199999999999996,60.8,0,INSUFFICIENT SAMPLE SIZE
panamax_30d,2,Ridge,-1.0104797756153099,35.6,63.2,70,FAILS PERMUTATION TEST
supramax_1d,2,ElasticNet,0.11614718413772551,59.83935742971887,62.24899598393574,9,INSUFFICIENT SAMPLE SIZE
supramax_7d,2,ElasticNet,-0.8593587651444479,51.6,53.2,51,FAILS PERMUTATION TEST
supramax_14d,2,Ridge,-1.4403573592203252,46.800000000000004,60.0,22,FAILS PERMUTATION TEST
supramax_30d,2,Ridge,-5.887120917776476,40.400000000000006,54.400000000000006,143,FAILS PERMUTATION TEST
handy_1d,2,LightGBM,0.1743169284795104,70.8,62.0,6,INSUFFICIENT SAMPLE SIZE
handy_7d,2,Ridge,-1.4067382969654583,42.4,65.2,43,FAILS PERMUTATION TEST
handy_14d,2,Ridge,-4.6780662424768105,26.0,64.8,147,FAILS PERMUTATION TEST
handy_30d,2,Ridge,-5.647835141028159,24.0,69.19999999999999,179,FAILS PERMUTATION TEST
