pair,genuine_folds,dominant_winner,recommendation
cape_1d,3/5,RandomForest,PROMOTE
cape_7d,1/5,Ridge,EXCLUDE
cape_14d,1/5,Ridge,EXCLUDE
cape_30d,0/5,Ridge,EXCLUDE
panamax_1d,3/5,RandomForest,PROMOTE
panamax_7d,1/5,RandomForest,EXCLUDE
panamax_14d,0/5,XGBoost,EXCLUDE
panamax_30d,0/5,Ridge,EXCLUDE
supramax_1d,3/5,RandomForest,PROMOTE
supramax_7d,3/5,ElasticNet,PROMOTE
supramax_14d,1/5,ElasticNet,EXCLUDE
supramax_30d,0/5,ElasticNet,EXCLUDE
handy_1d,3/5,RandomForest,PROMOTE
handy_7d,3/5,Ridge,PROMOTE
handy_14d,0/5,ElasticNet,EXCLUDE
handy_30d,0/5,ElasticNet,EXCLUDE
kdci_1d,2/5,RandomForest,EXCLUDE
kdci_7d,1/5,Ridge,EXCLUDE
kdci_14d,1/5,Ridge,EXCLUDE
kdci_30d,1/5,ElasticNet,EXCLUDE
