Model,N,MAE,RMSE,MedianAE,Bias,DA (%),2025 MAE,2025 DA (%),Runtime (s)
RF_STANDARD,4804,396.94,748.63,166.16,-13.46,74.6,274.94,76.26,24.12
EXTRA_TREES,4804,408.34,752.9,174.23,-1.82,71.4,276.25,75.0,17.14
LIGHTGBM,4804,390.15,731.76,165.41,-4.11,72.84,274.24,75.42,11.89
XGBOOST,4804,392.41,752.3,161.82,-24.6,74.38,275.45,75.53,6.85
CATBOOST,4804,423.72,813.94,171.26,-3.34,73.21,276.66,75.74,37.26
RIDGE,4804,415.7,736.71,195.47,18.33,63.45,274.55,71.11,1.34
QUANTILE_RF,4804,396.94,748.63,166.16,-13.46,74.6,274.94,76.26,10.32
LGBM_CAT_RIDGE,4804,395.76,733.99,170.48,3.63,71.75,270.23,75.21,50.54
RF_LGBM_CAT,4804,397.34,748.08,165.1,-6.97,74.15,273.05,75.84,73.32
RF_LGBM,4804,389.81,732.52,162.17,-8.78,74.23,273.28,75.84,36.06
RF_XGB,4804,391.28,744.47,163.83,-19.03,74.88,274.16,75.95,31.02
RF_LGBM_XGB,4804,388.69,735.75,162.77,-14.06,74.29,273.43,75.84,42.91
VALIDATION_WEIGHTED_ENSEMBLE,4804,389.55,733.08,163.8,-8.69,74.27,271.77,75.95,81.51
