Horizon,Model,Total N,NOW N,WAIT N,FLEXIBLE N,Retained N,Retained %,NOW Precision (%),WAIT Precision (%),Gated Precision (%)
1D,RF_STANDARD,4804,317,324,4163,641,13.34,74.13,83.95,79.1
1D,EXTRA_TREES,4804,151,128,4525,279,5.81,46.36,89.06,65.95
1D,LIGHTGBM,4804,202,235,4367,437,9.1,91.58,87.66,89.47
1D,XGBOOST,4804,205,212,4387,417,8.68,88.78,85.85,87.29
1D,CATBOOST,4804,351,296,4157,647,13.47,75.78,84.8,79.91
1D,RIDGE,4804,277,238,4289,515,10.72,72.2,73.95,73.01
1D,QUANTILE_RF,4804,317,324,4163,641,13.34,74.13,83.95,79.1
1D,LGBM_CAT_RIDGE,4804,304,207,4293,511,10.64,77.96,88.89,82.39
1D,RF_LGBM_CAT,4804,318,272,4214,590,12.28,78.3,85.66,81.69
1D,RF_LGBM,4804,264,254,4286,518,10.78,83.33,85.43,84.36
1D,RF_XGB,4804,236,279,4289,515,10.72,85.17,86.38,85.83
1D,RF_LGBM_XGB,4804,226,244,4334,470,9.78,88.05,86.07,87.02
1D,VALIDATION_WEIGHTED_ENSEMBLE,4804,273,237,4294,510,10.62,82.78,86.5,84.51
7D,RF_STANDARD,4804,86,219,4499,305,6.35,70.93,61.64,64.26
7D,EXTRA_TREES,4804,16,96,4692,112,2.33,31.25,66.67,61.61
7D,LIGHTGBM,4804,82,174,4548,256,5.33,79.27,67.24,71.09
7D,XGBOOST,4804,72,82,4650,154,3.21,80.56,73.17,76.62
7D,CATBOOST,4804,78,164,4562,242,5.04,82.05,67.07,71.9
7D,RIDGE,4804,90,344,4370,434,9.03,67.78,68.9,68.66
7D,QUANTILE_RF,4804,86,219,4499,305,6.35,70.93,61.64,64.26
7D,LGBM_CAT_RIDGE,4804,67,203,4534,270,5.62,82.09,67.0,70.74
7D,RF_LGBM_CAT,4804,74,188,4542,262,5.45,79.73,59.57,65.27
7D,RF_LGBM,4804,78,211,4515,289,6.02,75.64,60.19,64.36
7D,RF_XGB,4804,82,147,4575,229,4.77,75.61,63.27,67.69
7D,RF_LGBM_XGB,4804,65,150,4589,215,4.48,76.92,63.33,67.44
7D,VALIDATION_WEIGHTED_ENSEMBLE,4804,65,172,4567,237,4.93,80.0,68.02,71.31
14D,RF_STANDARD,4804,35,847,3922,882,18.36,62.86,51.12,51.59
14D,EXTRA_TREES,4804,49,410,4345,459,9.55,51.02,46.34,46.84
14D,LIGHTGBM,4804,79,677,4048,756,15.74,51.9,55.69,55.29
14D,XGBOOST,4804,40,299,4465,339,7.06,60.0,50.17,51.33
14D,CATBOOST,4804,239,558,4007,797,16.59,40.17,52.51,48.81
14D,RIDGE,4804,168,1024,3612,1192,24.81,55.95,60.55,59.9
14D,QUANTILE_RF,4804,35,847,3922,882,18.36,62.86,51.12,51.59
14D,LGBM_CAT_RIDGE,4804,92,677,4035,769,16.01,53.26,59.68,58.91
14D,RF_LGBM_CAT,4804,151,685,3968,836,17.4,47.02,52.99,51.91
14D,RF_LGBM,4804,97,749,3958,846,17.61,49.48,53.81,53.31
14D,RF_XGB,4804,72,599,4133,671,13.97,55.56,54.26,54.4
14D,RF_LGBM_XGB,4804,116,637,4051,753,15.67,50.0,53.22,52.72
14D,VALIDATION_WEIGHTED_ENSEMBLE,4804,90,714,4000,804,16.74,55.56,56.58,56.47
30D,RF_STANDARD,4804,247,841,3716,1088,22.65,45.75,54.93,52.85
30D,EXTRA_TREES,4804,56,713,4035,769,16.01,75.0,51.33,53.06
30D,LIGHTGBM,4804,302,665,3837,967,20.13,55.63,48.87,50.98
30D,XGBOOST,4804,121,592,4091,713,14.84,71.07,52.7,55.82
30D,CATBOOST,4804,331,519,3954,850,17.69,58.61,58.57,58.59
30D,RIDGE,4804,214,1276,3314,1490,31.02,63.08,55.25,56.38
30D,QUANTILE_RF,4804,247,841,3716,1088,22.65,45.75,54.93,52.85
30D,LGBM_CAT_RIDGE,4804,159,765,3880,924,19.23,61.64,49.02,51.19
30D,RF_LGBM_CAT,4804,285,741,3778,1026,21.36,54.39,53.31,53.61
30D,RF_LGBM,4804,260,756,3788,1016,21.15,51.54,52.65,52.36
30D,RF_XGB,4804,224,728,3852,952,19.82,53.57,53.85,53.78
30D,RF_LGBM_XGB,4804,233,629,3942,862,17.94,59.23,50.56,52.9
30D,VALIDATION_WEIGHTED_ENSEMBLE,4804,209,741,3854,950,19.78,57.89,48.72,50.74
