Horizon,Model,N,MAE,RMSE,MedianAE,DA (%),2025 MAE,2025 DA (%),Runtime (s)
1D,RF_STANDARD,4804,396.94,748.63,166.16,74.6,274.94,76.26,24.12
1D,EXTRA_TREES,4804,408.34,752.9,174.23,71.4,276.25,75.0,17.14
1D,LIGHTGBM,4804,390.15,731.76,165.41,72.84,274.24,75.42,11.89
1D,XGBOOST,4804,392.41,752.3,161.82,74.38,275.45,75.53,6.85
1D,CATBOOST,4804,423.72,813.94,171.26,73.21,276.66,75.74,37.26
1D,RIDGE,4804,415.7,736.71,195.47,63.45,274.55,71.11,1.34
1D,QUANTILE_RF,4804,396.94,748.63,166.16,74.6,274.94,76.26,10.32
1D,LGBM_CAT_RIDGE,4804,395.76,733.99,170.48,71.75,270.23,75.21,50.54
1D,RF_LGBM_CAT,4804,397.34,748.08,165.1,74.15,273.05,75.84,73.32
1D,RF_LGBM,4804,389.81,732.52,162.17,74.23,273.28,75.84,36.06
1D,RF_XGB,4804,391.28,744.47,163.83,74.88,274.16,75.95,31.02
1D,RF_LGBM_XGB,4804,388.69,735.75,162.77,74.29,273.43,75.84,42.91
1D,VALIDATION_WEIGHTED_ENSEMBLE,4804,389.55,733.08,163.8,74.27,271.77,75.95,81.51
7D,RF_STANDARD,4804,2066.59,3466.07,1180.09,61.18,1407.76,65.02,7.29
7D,EXTRA_TREES,4804,2072.74,3440.21,1206.18,58.56,1432.78,59.87,5.08
7D,LIGHTGBM,4804,2051.84,3411.15,1184.97,60.55,1389.24,62.29,2.92
7D,XGBOOST,4804,2041.46,3375.83,1169.04,61.16,1372.32,62.92,6.38
7D,CATBOOST,4804,2085.88,3470.26,1181.83,60.14,1383.45,61.34,36.8
7D,RIDGE,4804,2039.48,3338.79,1175.52,60.6,1356.57,59.66,1.37
7D,QUANTILE_RF,4804,2066.59,3466.07,1180.09,61.18,1407.76,65.02,10.15
7D,LGBM_CAT_RIDGE,4804,1995.67,3308.74,1156.45,62.14,1342.47,61.13,41.14
7D,RF_LGBM_CAT,4804,2048.44,3419.97,1169.9,60.87,1383.13,63.24,47.06
7D,RF_LGBM,4804,2044.57,3415.52,1173.7,61.34,1390.75,64.92,10.26
7D,RF_XGB,4804,2039.23,3393.92,1149.99,61.93,1379.99,64.81,13.72
7D,RF_LGBM_XGB,4804,2036.97,3389.49,1157.42,61.34,1381.13,64.08,16.64
7D,VALIDATION_WEIGHTED_ENSEMBLE,4804,2018.06,3360.59,1155.9,62.16,1365.14,63.34,54.81
14D,RF_STANDARD,4804,3299.53,5287.36,1959.26,54.77,2060.7,59.56,7.19
14D,EXTRA_TREES,4804,3317.54,5275.59,2007.78,53.5,2062.39,61.76,4.6
14D,LIGHTGBM,4804,3295.48,5220.3,2047.63,55.33,2045.62,60.4,3.09
14D,XGBOOST,4804,3302.03,5227.25,2089.24,55.83,2065.82,61.87,6.03
14D,CATBOOST,4804,3384.95,5435.54,2130.73,54.75,2043.24,62.39,34.46
14D,RIDGE,4804,3385.44,5322.08,2032.72,57.66,2080.68,55.99,1.27
14D,QUANTILE_RF,4804,3299.53,5287.36,1959.26,54.77,2060.7,59.56,10.0
14D,LGBM_CAT_RIDGE,4804,3239.87,5107.76,2018.65,54.83,2001.9,58.61,38.87
14D,RF_LGBM_CAT,4804,3303.97,5284.85,2022.23,54.98,2030.5,61.03,44.79
14D,RF_LGBM,4804,3285.34,5236.52,1990.07,54.52,2041.15,58.3,10.33
14D,RF_XGB,4804,3281.82,5232.18,1982.35,55.22,2048.23,60.19,13.27
14D,RF_LGBM_XGB,4804,3280.18,5218.73,2007.38,55.58,2043.18,60.82,16.36
14D,VALIDATION_WEIGHTED_ENSEMBLE,4804,3252.62,5168.04,1998.14,55.08,2023.24,60.71,52.09
30D,RF_STANDARD,4804,4669.02,6885.89,3131.56,58.2,2733.51,62.08,7.05
30D,EXTRA_TREES,4804,4390.29,6614.53,2864.06,58.47,2655.82,63.55,4.86
30D,LIGHTGBM,4804,4545.1,6756.39,3028.87,59.2,2920.26,55.88,2.92
30D,XGBOOST,4804,4425.21,6699.22,2877.71,57.18,2914.96,56.2,6.05
30D,CATBOOST,4804,4567.24,6767.14,3131.35,58.06,2986.23,60.71,35.42
30D,RIDGE,4804,4646.71,6841.23,3014.99,58.37,2850.2,56.09,1.67
30D,QUANTILE_RF,4804,4669.02,6885.89,3131.56,58.2,2733.51,62.08,10.26
30D,LGBM_CAT_RIDGE,4804,4364.94,6396.03,3018.44,59.7,2844.31,57.25,40.06
30D,RF_LGBM_CAT,4804,4552.51,6756.0,3055.47,58.22,2829.56,57.67,45.44
30D,RF_LGBM,4804,4567.28,6778.68,3051.77,59.45,2772.96,58.61,10.02
30D,RF_XGB,4804,4503.34,6735.14,3005.34,58.41,2783.28,59.87,13.15
30D,RF_LGBM_XGB,4804,4501.4,6726.23,2973.33,58.81,2812.85,58.09,16.07
30D,VALIDATION_WEIGHTED_ENSEMBLE,4804,4434.8,6588.57,2957.62,59.45,2799.55,58.3,53.16
