Horizon,Candidate,MAE Diff vs RF ($),MAE 95% CI,DA Diff vs RF (%),DA 95% CI
1D,EXTRA_TREES,11.4,"[5.75, 16.90]",-3.21,"[-4.12, -2.29]"
1D,LIGHTGBM,-6.79,"[-12.63, -1.20]",-1.77,"[-2.50, -0.96]"
1D,XGBOOST,-4.53,"[-9.38, 0.55]",-0.23,"[-0.96, 0.56]"
1D,CATBOOST,26.78,"[19.87, 33.95]",-1.39,"[-2.04, -0.64]"
1D,RIDGE,18.76,"[10.42, 27.43]",-11.16,"[-12.51, -9.76]"
1D,QUANTILE_RF,0.0,"[-0.00, 0.00]",0.0,"[0.00, 0.00]"
1D,LGBM_CAT_RIDGE,-1.18,"[-6.26, 4.09]",-2.85,"[-3.81, -1.89]"
1D,RF_LGBM_CAT,0.4,"[-2.76, 3.46]",-0.46,"[-0.92, 0.06]"
1D,RF_LGBM,-7.13,"[-9.94, -4.34]",-0.37,"[-0.87, 0.17]"
1D,RF_XGB,-5.66,"[-8.30, -2.97]",0.27,"[-0.17, 0.81]"
1D,RF_LGBM_XGB,-8.25,"[-11.50, -4.89]",-0.31,"[-0.81, 0.29]"
1D,VALIDATION_WEIGHTED_ENSEMBLE,-7.39,"[-10.74, -4.07]",-0.33,"[-0.90, 0.31]"
7D,EXTRA_TREES,6.15,"[-12.52, 24.73]",-2.62,"[-3.87, -1.37]"
7D,LIGHTGBM,-14.74,"[-36.55, 6.74]",-0.62,"[-1.64, 0.37]"
7D,XGBOOST,-25.13,"[-48.87, -1.53]",-0.02,"[-1.06, 0.96]"
7D,CATBOOST,19.3,"[-2.63, 39.90]",-1.04,"[-2.12, 0.13]"
7D,RIDGE,-27.11,"[-68.41, 16.22]",-0.58,"[-1.96, 0.94]"
7D,QUANTILE_RF,0.0,"[-0.00, 0.00]",0.0,"[0.00, 0.00]"
7D,LGBM_CAT_RIDGE,-70.92,"[-94.63, -48.53]",0.96,"[-0.12, 2.12]"
7D,RF_LGBM_CAT,-18.15,"[-31.41, -5.34]",-0.31,"[-1.06, 0.54]"
7D,RF_LGBM,-22.01,"[-33.15, -10.29]",0.17,"[-0.54, 0.87]"
7D,RF_XGB,-27.36,"[-39.85, -15.26]",0.75,"[0.02, 1.46]"
7D,RF_LGBM_XGB,-29.62,"[-44.40, -14.70]",0.17,"[-0.62, 0.94]"
7D,VALIDATION_WEIGHTED_ENSEMBLE,-48.53,"[-63.73, -33.13]",0.98,"[0.12, 1.79]"
14D,EXTRA_TREES,18.01,"[-7.58, 43.58]",-1.27,"[-2.31, -0.25]"
14D,LIGHTGBM,-4.06,"[-25.60, 19.80]",0.56,"[-0.35, 1.40]"
14D,XGBOOST,2.5,"[-23.37, 30.88]",1.06,"[0.06, 2.00]"
14D,CATBOOST,85.41,"[58.98, 113.60]",-0.02,"[-1.02, 0.98]"
14D,RIDGE,85.9,"[6.86, 161.93]",2.89,"[1.58, 4.18]"
14D,QUANTILE_RF,0.0,"[-0.00, 0.00]",0.0,"[0.00, 0.00]"
14D,LGBM_CAT_RIDGE,-59.66,"[-91.17, -27.24]",0.06,"[-0.92, 1.00]"
14D,RF_LGBM_CAT,4.44,"[-9.10, 19.33]",0.21,"[-0.54, 0.94]"
14D,RF_LGBM,-14.19,"[-25.56, -1.97]",-0.25,"[-0.81, 0.33]"
14D,RF_XGB,-17.72,"[-31.64, -3.71]",0.46,"[-0.21, 1.15]"
14D,RF_LGBM_XGB,-19.35,"[-34.46, -3.52]",0.81,"[0.06, 1.58]"
14D,VALIDATION_WEIGHTED_ENSEMBLE,-46.91,"[-62.89, -30.13]",0.31,"[-0.44, 1.10]"
30D,EXTRA_TREES,-278.72,"[-323.96, -232.44]",0.27,"[-0.73, 1.37]"
30D,LIGHTGBM,-123.92,"[-163.77, -84.29]",1.0,"[-0.10, 2.02]"
30D,XGBOOST,-243.8,"[-290.78, -196.07]",-1.02,"[-2.16, 0.17]"
30D,CATBOOST,-101.77,"[-139.98, -59.70]",-0.15,"[-1.19, 0.94]"
30D,RIDGE,-22.3,"[-141.93, 102.67]",0.17,"[-1.29, 1.62]"
30D,QUANTILE_RF,0.0,"[-0.00, 0.00]",0.0,"[0.00, 0.00]"
30D,LGBM_CAT_RIDGE,-304.08,"[-362.22, -242.17]",1.5,"[0.29, 2.64]"
30D,RF_LGBM_CAT,-116.51,"[-142.35, -91.83]",0.02,"[-0.90, 0.92]"
30D,RF_LGBM,-101.73,"[-123.00, -81.70]",1.25,"[0.42, 2.04]"
30D,RF_XGB,-165.68,"[-190.85, -140.87]",0.21,"[-0.67, 1.04]"
30D,RF_LGBM_XGB,-167.62,"[-196.93, -138.86]",0.6,"[-0.40, 1.52]"
30D,VALIDATION_WEIGHTED_ENSEMBLE,-234.22,"[-268.85, -199.01]",1.25,"[0.27, 2.23]"
