Horizon,Model A,Model B,Prediction Correlation
1D,RF_STANDARD,EXTRA_TREES,0.9997
1D,RF_STANDARD,LIGHTGBM,0.9997
1D,RF_STANDARD,XGBOOST,0.9998
1D,RF_STANDARD,CATBOOST,0.9996
1D,RF_STANDARD,RIDGE,0.9994
1D,EXTRA_TREES,LIGHTGBM,0.9998
1D,EXTRA_TREES,XGBOOST,0.9997
1D,EXTRA_TREES,CATBOOST,0.9994
1D,EXTRA_TREES,RIDGE,0.9996
1D,LIGHTGBM,XGBOOST,0.9998
1D,LIGHTGBM,CATBOOST,0.9993
1D,LIGHTGBM,RIDGE,0.9996
1D,XGBOOST,CATBOOST,0.9994
1D,XGBOOST,RIDGE,0.9995
1D,CATBOOST,RIDGE,0.9989
7D,RF_STANDARD,EXTRA_TREES,0.9963
7D,RF_STANDARD,LIGHTGBM,0.9959
7D,RF_STANDARD,XGBOOST,0.9957
7D,RF_STANDARD,CATBOOST,0.9958
7D,RF_STANDARD,RIDGE,0.9822
7D,EXTRA_TREES,LIGHTGBM,0.9957
7D,EXTRA_TREES,XGBOOST,0.995
7D,EXTRA_TREES,CATBOOST,0.9935
7D,EXTRA_TREES,RIDGE,0.9847
7D,LIGHTGBM,XGBOOST,0.998
7D,LIGHTGBM,CATBOOST,0.9965
7D,LIGHTGBM,RIDGE,0.9866
7D,XGBOOST,CATBOOST,0.997
7D,XGBOOST,RIDGE,0.9862
7D,CATBOOST,RIDGE,0.9802
14D,RF_STANDARD,EXTRA_TREES,0.9922
14D,RF_STANDARD,LIGHTGBM,0.9943
14D,RF_STANDARD,XGBOOST,0.9932
14D,RF_STANDARD,CATBOOST,0.9918
14D,RF_STANDARD,RIDGE,0.9347
14D,EXTRA_TREES,LIGHTGBM,0.9908
14D,EXTRA_TREES,XGBOOST,0.9894
14D,EXTRA_TREES,CATBOOST,0.9868
14D,EXTRA_TREES,RIDGE,0.9329
14D,LIGHTGBM,XGBOOST,0.9956
14D,LIGHTGBM,CATBOOST,0.9917
14D,LIGHTGBM,RIDGE,0.9394
14D,XGBOOST,CATBOOST,0.9935
14D,XGBOOST,RIDGE,0.9362
14D,CATBOOST,RIDGE,0.9274
30D,RF_STANDARD,EXTRA_TREES,0.9735
30D,RF_STANDARD,LIGHTGBM,0.9795
30D,RF_STANDARD,XGBOOST,0.9729
30D,RF_STANDARD,CATBOOST,0.9809
30D,RF_STANDARD,RIDGE,0.7852
30D,EXTRA_TREES,LIGHTGBM,0.9818
30D,EXTRA_TREES,XGBOOST,0.98
30D,EXTRA_TREES,CATBOOST,0.9734
30D,EXTRA_TREES,RIDGE,0.8225
30D,LIGHTGBM,XGBOOST,0.9899
30D,LIGHTGBM,CATBOOST,0.9889
30D,LIGHTGBM,RIDGE,0.821
30D,XGBOOST,CATBOOST,0.9892
30D,XGBOOST,RIDGE,0.8351
30D,CATBOOST,RIDGE,0.8227
