Horizon,Model,Spot Cost ($),Savings ($),Savings (%),NOW N,NOW Savings (%),WAIT N,WAIT Savings (%),FLEXIBLE N,FLEXIBLE Savings (Counterfactual) (%)
1D,RF_STANDARD,90941631.0,536880.2,0.59,317,0.0,324,2.0,4163,0.5
1D,EXTRA_TREES,90941631.0,490443.02,0.54,151,0.0,128,2.0,4525,0.5
1D,LIGHTGBM,90941631.0,516984.45,0.57,202,0.0,235,2.0,4367,0.5
1D,XGBOOST,90941631.0,506778.47,0.56,205,0.0,212,2.0,4387,0.5
1D,CATBOOST,90941631.0,527945.23,0.58,351,0.0,296,2.0,4157,0.5
1D,RIDGE,90941631.0,513782.69,0.56,277,0.0,238,2.0,4289,0.5
1D,QUANTILE_RF,90941631.0,536880.2,0.59,317,0.0,324,2.0,4163,0.5
1D,LGBM_CAT_RIDGE,90941631.0,503186.41,0.55,304,0.0,207,2.0,4293,0.5
1D,RF_LGBM_CAT,90941631.0,521092.24,0.57,318,0.0,272,2.0,4214,0.5
1D,RF_LGBM,90941631.0,518984.97,0.57,264,0.0,254,2.0,4286,0.5
1D,RF_XGB,90941631.0,532674.04,0.59,236,0.0,279,2.0,4289,0.5
1D,RF_LGBM_XGB,90941631.0,519926.15,0.57,226,0.0,244,2.0,4334,0.5
1D,VALIDATION_WEIGHTED_ENSEMBLE,90941631.0,513963.15,0.57,273,0.0,237,2.0,4294,0.5
7D,RF_STANDARD,90959454.0,561033.74,0.62,86,0.0,219,2.0,4499,0.5
7D,EXTRA_TREES,90959454.0,515335.9,0.57,16,0.0,96,2.0,4692,0.5
7D,LIGHTGBM,90959454.0,532968.36,0.59,82,0.0,174,2.0,4548,0.5
7D,XGBOOST,90959454.0,488573.75,0.54,72,0.0,82,2.0,4650,0.5
7D,CATBOOST,90959454.0,534910.08,0.59,78,0.0,164,2.0,4562,0.5
7D,RIDGE,90959454.0,587815.13,0.65,90,0.0,344,2.0,4370,0.5
7D,QUANTILE_RF,90959454.0,561033.74,0.62,86,0.0,219,2.0,4499,0.5
7D,LGBM_CAT_RIDGE,90959454.0,547861.57,0.6,67,0.0,203,2.0,4534,0.5
7D,RF_LGBM_CAT,90959454.0,553181.59,0.61,74,0.0,188,2.0,4542,0.5
7D,RF_LGBM,90959454.0,562892.42,0.62,78,0.0,211,2.0,4515,0.5
7D,RF_XGB,90959454.0,524740.99,0.58,82,0.0,147,2.0,4575,0.5
7D,RF_LGBM_XGB,90959454.0,526192.28,0.58,65,0.0,150,2.0,4589,0.5
7D,VALIDATION_WEIGHTED_ENSEMBLE,90959454.0,537321.34,0.59,65,0.0,172,2.0,4567,0.5
14D,RF_STANDARD,90933469.0,808979.31,0.89,35,0.0,847,2.0,3922,0.5
14D,EXTRA_TREES,90933469.0,659898.77,0.73,49,0.0,410,2.0,4345,0.5
14D,LIGHTGBM,90933469.0,742630.27,0.82,79,0.0,677,2.0,4048,0.5
14D,XGBOOST,90933469.0,588181.5,0.65,40,0.0,299,2.0,4465,0.5
14D,CATBOOST,90933469.0,685477.04,0.75,239,0.0,558,2.0,4007,0.5
14D,RIDGE,90933469.0,836573.91,0.92,168,0.0,1024,2.0,3612,0.5
14D,QUANTILE_RF,90933469.0,808979.31,0.89,35,0.0,847,2.0,3922,0.5
14D,LGBM_CAT_RIDGE,90933469.0,736173.4,0.81,92,0.0,677,2.0,4035,0.5
14D,RF_LGBM_CAT,90933469.0,743123.95,0.82,151,0.0,685,2.0,3968,0.5
14D,RF_LGBM,90933469.0,771263.73,0.85,97,0.0,749,2.0,3958,0.5
14D,RF_XGB,90933469.0,711297.13,0.78,72,0.0,599,2.0,4133,0.5
14D,RF_LGBM_XGB,90933469.0,727789.65,0.8,116,0.0,637,2.0,4051,0.5
14D,VALIDATION_WEIGHTED_ENSEMBLE,90933469.0,755433.32,0.83,90,0.0,714,2.0,4000,0.5
30D,RF_STANDARD,91140716.0,791862.73,0.87,247,0.0,841,2.0,3716,0.5
30D,EXTRA_TREES,91140716.0,770374.37,0.85,56,0.0,713,2.0,4035,0.5
30D,LIGHTGBM,91140716.0,740733.6,0.81,302,0.0,665,2.0,3837,0.5
30D,XGBOOST,91140716.0,712090.53,0.78,121,0.0,592,2.0,4091,0.5
30D,CATBOOST,91140716.0,667242.28,0.73,331,0.0,519,2.0,3954,0.5
30D,RIDGE,91140716.0,917529.91,1.01,214,0.0,1276,2.0,3314,0.5
30D,QUANTILE_RF,91140716.0,791862.73,0.87,247,0.0,841,2.0,3716,0.5
30D,LGBM_CAT_RIDGE,91140716.0,767635.82,0.84,159,0.0,765,2.0,3880,0.5
30D,RF_LGBM_CAT,91140716.0,748699.81,0.82,285,0.0,741,2.0,3778,0.5
30D,RF_LGBM,91140716.0,758413.79,0.83,260,0.0,756,2.0,3788,0.5
30D,RF_XGB,91140716.0,746323.24,0.82,224,0.0,728,2.0,3852,0.5
30D,RF_LGBM_XGB,91140716.0,712554.3,0.78,233,0.0,629,2.0,3942,0.5
30D,VALIDATION_WEIGHTED_ENSEMBLE,91140716.0,759320.18,0.83,209,0.0,741,2.0,3854,0.5
