Horizon,Model,Runtime (s)
1D,RF_STANDARD,24.12
1D,EXTRA_TREES,17.14
1D,LIGHTGBM,11.89
1D,XGBOOST,6.85
1D,CATBOOST,37.26
1D,RIDGE,1.34
1D,QUANTILE_RF,10.32
7D,RF_STANDARD,7.29
7D,EXTRA_TREES,5.08
7D,LIGHTGBM,2.92
7D,XGBOOST,6.38
7D,CATBOOST,36.8
7D,RIDGE,1.37
7D,QUANTILE_RF,10.15
14D,RF_STANDARD,7.19
14D,EXTRA_TREES,4.6
14D,LIGHTGBM,3.09
14D,XGBOOST,6.03
14D,CATBOOST,34.46
14D,RIDGE,1.27
14D,QUANTILE_RF,10.0
30D,RF_STANDARD,7.05
30D,EXTRA_TREES,4.86
30D,LIGHTGBM,2.92
30D,XGBOOST,6.05
30D,CATBOOST,35.42
30D,RIDGE,1.67
30D,QUANTILE_RF,10.26
1D,LGBM_CAT_RIDGE,50.54
1D,RF_LGBM_CAT,73.32
1D,RF_LGBM,36.06
1D,RF_XGB,31.02
1D,RF_LGBM_XGB,42.91
1D,VALIDATION_WEIGHTED_ENSEMBLE,81.51
7D,LGBM_CAT_RIDGE,41.14
7D,RF_LGBM_CAT,47.06
7D,RF_LGBM,10.26
7D,RF_XGB,13.72
7D,RF_LGBM_XGB,16.64
7D,VALIDATION_WEIGHTED_ENSEMBLE,54.81
14D,LGBM_CAT_RIDGE,38.87
14D,RF_LGBM_CAT,44.79
14D,RF_LGBM,10.33
14D,RF_XGB,13.27
14D,RF_LGBM_XGB,16.36
14D,VALIDATION_WEIGHTED_ENSEMBLE,52.09
30D,LGBM_CAT_RIDGE,40.06
30D,RF_LGBM_CAT,45.44
30D,RF_LGBM,10.02
30D,RF_XGB,13.15
30D,RF_LGBM_XGB,16.07
30D,VALIDATION_WEIGHTED_ENSEMBLE,53.16
