Horizon,Model,Coverage (%),2025 Coverage (%),Mean Width ($),Median Width ($),Relative Width
1D,RF_STANDARD,75.06,83.4,1137.39,719.46,0.0678
1D,EXTRA_TREES,75.02,82.56,1169.17,856.15,0.07
1D,LIGHTGBM,74.94,83.4,1135.5,782.04,0.0685
1D,XGBOOST,75.73,81.72,1163.79,778.59,0.0695
1D,CATBOOST,74.98,81.83,1188.96,703.49,0.0705
1D,RIDGE,74.29,84.35,1185.29,858.73,0.0711
1D,QUANTILE_RF,62.07,82.67,724.1,437.05,0.0421
1D,LGBM_CAT_RIDGE,75.06,83.4,1137.39,719.46,0.0678
1D,RF_LGBM_CAT,75.06,83.4,1137.39,719.46,0.0678
1D,RF_LGBM,75.06,83.4,1137.39,719.46,0.0678
1D,RF_XGB,75.06,83.4,1137.39,719.46,0.0678
1D,RF_LGBM_XGB,75.06,83.4,1137.39,719.46,0.0678
1D,VALIDATION_WEIGHTED_ENSEMBLE,75.06,83.4,1137.39,719.46,0.0678
7D,RF_STANDARD,73.77,78.68,6256.66,5182.07,0.3857
7D,EXTRA_TREES,74.15,79.83,6345.66,5371.3,0.3894
7D,LIGHTGBM,73.48,80.04,6262.01,5155.24,0.388
7D,XGBOOST,74.48,80.67,6313.42,5420.89,0.3911
7D,CATBOOST,74.21,78.99,6290.21,5320.02,0.3893
7D,RIDGE,73.46,80.78,5976.35,4931.37,0.3678
7D,QUANTILE_RF,60.03,82.98,3970.14,2749.15,0.2347
7D,LGBM_CAT_RIDGE,73.77,78.68,6256.66,5182.07,0.3857
7D,RF_LGBM_CAT,73.77,78.68,6256.66,5182.07,0.3857
7D,RF_LGBM,73.77,78.68,6256.66,5182.07,0.3857
7D,RF_XGB,73.77,78.68,6256.66,5182.07,0.3857
7D,RF_LGBM_XGB,73.77,78.68,6256.66,5182.07,0.3857
7D,VALIDATION_WEIGHTED_ENSEMBLE,73.77,78.68,6256.66,5182.07,0.3857
14D,RF_STANDARD,75.31,82.88,10182.92,9258.36,0.6351
14D,EXTRA_TREES,74.96,79.62,9794.74,9466.11,0.6066
14D,LIGHTGBM,73.58,80.78,9964.06,9546.36,0.6218
14D,XGBOOST,75.4,82.77,10299.1,9486.39,0.6424
14D,CATBOOST,75.29,83.09,10334.99,9346.0,0.6455
14D,RIDGE,71.71,76.68,9534.84,8558.73,0.5965
14D,QUANTILE_RF,59.95,83.09,6432.53,4296.5,0.3754
14D,LGBM_CAT_RIDGE,75.31,82.88,10182.92,9258.36,0.6351
14D,RF_LGBM_CAT,75.31,82.88,10182.92,9258.36,0.6351
14D,RF_LGBM,75.31,82.88,10182.92,9258.36,0.6351
14D,RF_XGB,75.31,82.88,10182.92,9258.36,0.6351
14D,RF_LGBM_XGB,75.31,82.88,10182.92,9258.36,0.6351
14D,VALIDATION_WEIGHTED_ENSEMBLE,75.31,82.88,10182.92,9258.36,0.6351
30D,RF_STANDARD,73.81,76.37,13677.51,12745.15,0.8558
30D,EXTRA_TREES,74.79,75.42,13150.18,12527.11,0.8237
30D,LIGHTGBM,74.23,78.26,13360.67,12971.24,0.8418
30D,XGBOOST,74.81,78.78,13308.98,12068.49,0.8282
30D,CATBOOST,75.62,79.52,13485.64,12521.17,0.8444
30D,RIDGE,69.17,75.63,12086.72,11518.13,0.7589
30D,QUANTILE_RF,53.35,81.93,7996.41,5631.45,0.485
30D,LGBM_CAT_RIDGE,73.81,76.37,13677.51,12745.15,0.8558
30D,RF_LGBM_CAT,73.81,76.37,13677.51,12745.15,0.8558
30D,RF_LGBM,73.81,76.37,13677.51,12745.15,0.8558
30D,RF_XGB,73.81,76.37,13677.51,12745.15,0.8558
30D,RF_LGBM_XGB,73.81,76.37,13677.51,12745.15,0.8558
30D,VALIDATION_WEIGHTED_ENSEMBLE,73.81,76.37,13677.51,12745.15,0.8558
